Year;Country;Performer;Song;Composers;Lyricists;Lyrics.length.category
2000;Austria;The rounder girls;All To You;Dave Moskin;Unknown;Very long
2000;Macedonia;XXL;100% Te Ljubam;Dragan Karanfilovski;Orče Zafirovski,Vlado Janevski;Very long
2000;United Kingdom;Nicki French;Don't Play That Song Again;Gerry Shephard,John Springate;Unknown;Long
2000;Romania;Taxi;The Moon;Dan Teodorescu;Unknown;Middle
2000;Spain;Serafín Zubiri;Colgado De Un Sueño;José María Purón;Unknown;Middle
2000;Finland;Nina Åström;A Little Bit;Luca Genta;Gerrit aan 't Goor;Middle
2000;Switzerland;Jane Bogaert;La Vita Cos'è?;Bernie Staub,Brigitte Schöb;Thomas Marin;Middle
2000;Cyprus;Voice;Nomiza;Alexandros Panayi;Alexandros Panayi,Silvia M. Klemm;Short
2000;Israel;Ping Pong;Sa'me'akh;Guy Assif,Ronen Ben-Tal,Roy Arad;Unknown;Very short
2000;France;Sofia Mestari;On Aura Le Ciel;Benoît Heinrich,Pierre Legay;Unknown;Long
2000;Belgium;Nathalie Sorce;Envie De Vivre;Silvio Pezzuto;Unknown;Middle
2001;Estonia;Tanel Padar, Dave Benton & 2XL;Everybody;Ivar Must;Maian-Anna Kärmas;Very long
2001;Denmark;Rollo & King;Never Ever Let You Go;Søren Poppe;Stefan Teilmann Laub Nielsen,Thomas Brekling;Long
2001;Greece;Antique;Die For You;Nikos Terzis;Antonis Pappas;Short
2001;France;Natasha Saint-Pier;Je N'ai Que Mon âme;J. Kapler;M. Jones,J. Kapler;Short
2001;Sweden;Friends;Listen To Your Heartbeat;Daniël Ditmar,Henrik Sethsson,John Terra,Thomas G:son;Henrik Sethsson,Thomas G:son;Long
2001;Spain;David Civera;Dile Que La Quiero;Alejandro Abad;Unknown;Long
2001;Slovenia;Nua Derenda;Energy;Matjaž Vlašič;Lucienne Lončina,Urša Vlašič;Short
2001;Germany;Michelle;Wer Liebe Lebt;Gino Trovatello,Matthias Stingl;Eva Richter,Mary Susan Applegate;Short
2001;Malta;Fabrizio Faniello;Another Summer Night;Paul Abela;Georgina Abela;Long
2001;Croatia;Vanna;Strings Of My Heart;Tonči Huljić;Vjekoslava Huljić;Short
2001;Turkey;Sedat Yüce;Sevgiliye Son;Semih Güneri;Figen Çakmak,Nurdan Güneri;Short
2001;Russia;Mumiy troll;Lady Alpine Blue;Ilia Lagutenko;Unknown;Short
2001;Lithuania;Skamp;You Got Style;Viktoras Diawara;Erica Quinn Jennings,Viktoras Diawara,Vilius Alesius;Very long
2001;Bosnia and Herzegovina;Nino;Hano;Nino Pršeš;Unknown;Middle
2001;United Kingdom;Lindsay D.;No Dream Impossible;Chris Winter,Russ Ballard;Unknown;Long
2001;Israel;Tal Sondak;Ein Davar;Yair Klinger;Shimrit Orr;Middle
2001;Portugal;MTM;Só Sei Ser Feliz Assim;Marco Quelhas;Unknown;Middle
2001;The Netherlands;Michelle;Out On My Own;André Remkes,Dirk-Jan Vermeij;André Remkes;Short
2001;Latvia;Arnis Mednis;Too Much;Arnis Mednis;Arnis Mednis,Gustavs Terzens;Middle
2001;Poland;Piasek;2 Long;Robert Chojnacki;Andrzej Piaseczny;Very long
2001;Ireland;Gary O'Shaughnessy;Without Your Love;Pat Sheridan;Unknown;Short
2001;Iceland;TwoTricky;Angel;Einar Bárðarson,Magnús Þór Sigmundsson;Einar Bárðarson;Long
2001;Norway;Haldor Lægreid;On My Own;Ole Henrik Antonsen,Tom-Steinar Hanssen;Ole Henrik Antonsen,Ole Jørgen Olsen,Tom-Steinar Hanssen;Short
2002;Latvia;Marie N;I Wanna;Marija Naumova;Marats Samauskis,Marija Naumova;Very long
2002;Malta;Ira Losco;7th Wonder;Philip Vella;Gerard James Borg;Very long
2002;United Kingdom;Jessica Garlick;Come Back;Martyn Baylay;Unknown;Middle
2002;Estonia;Sahléne;Runaway;Alar Kotkas,Ilmar Laisaar,Pearu Paulus;Jana Hallas;Long
2002;France;Sandrine François;Il Faut Du Temps;Marie-Florence Gros,Patrick Bruel;Patrick Bruel,Rick Allison;Middle
2002;Cyprus;One;Gimme;Giorgos Theophanous;Unknown;Very long
2002;Spain;Rosa;Europe's Living A Celebration;Toni Ten;Xasqui Ten;Long
2002;Sweden;Afro-dite;Never Let It Go;Marcos Ubeda;Unknown;Very long
2002;Romania;Monica Anghel & Marcel Pavel;Tell Me Why;Ionel Tudor;Mirela Voiculescu Fugaru;Short
2002;Russia;Prime minister;Northern Girl;Kim Breitburg;Evgene Fridlyand,Irina Antonyan,Karen Kavaleryan;Very long
2002;Croatia;Vesna Pisarovic;Everything I Want;Milana Vlaović;Unknown;Long
2002;Israel;Sarit Hadad;Light A Candle;Svika Pick;Yoav Ginai;Middle
2002;Bosnia and Herzegovina;Maja;Na Jastuku Za Dvoje;Dragan Mijatović;Ružica Čavić;Long
2002;Belgium;Sergio & the Ladies;Sister;Marc Paelinck;Dirk Paelinck;Very long
2002;Slovenia;Sestre;Samo Ljubezen;Robert Pešut;Barbara Pešut;Short
2002;Turkey;Buket Bengisu & Saphire;Leylaklar Soldu Kalbinde;Fani Hodara;Figen Çakmak,Sami Hodara;Middle
2002;Greece;Michalis Rakintzis;S.A.G.A.P.O.;Michalis Rakintzis;Unknown;Long
2002;Austria;Manuel Ortega;Say A Word;Alexander Kahr;Robert Pfluger;Very long
2002;Macedonia;Karolina;Od Nas Zavisi;Nikola Perevski;Vladimir Krstevski;Short
2002;Finland;Laura;Addicted To You;Maki Kolehmainen;Janina Frostell,Tracy Lipp;Very long
2002;Germany;Corinna May;I Can't Live Without Music;Ralph Siegel;Gunter Johansen;Long
2002;Switzerland;Francine Jordi;Dans Le Jardin De Mon Âme;Francine Jordi;Unknown;Middle
2002;Lithuania;Aivaras;Happy You;Aivaras Stepukonis;Unknown;Middle
2002;Denmark;Malene;Tell Me Who You Are;Michael Ronson;Unknown;Long
2003;Turkey;Sertab Erener;Everyway That I Can;Demir Demirkan,Sertab Erener;Demir Demirkan;Very long
2003;Belgium;Urban Trad;Sanomi;Yves Barbieux;Unknown;Short
2003;Russia;t.A.T.u.;Ne Ver, Ne Boisia;Valeriy Polienko;Mars Lasar;Middle
2003;Norway;Jostein Hasselgård;I'm Not Afraid To Move On;Arve Furset,VJ Strøm;Unknown;Middle
2003;Sweden;Fame;Give Me Your Love;Calle Kindbom,Carl Lösnitz;Unknown;Long
2003;Austria;Alf Poier;Weil Der Mensch Zählt;Alf Poier;Unknown;Middle
2003;Poland;Ich Troje;Keine Grenzen - Zadnych Granic;André Franke;Jacek Łągwa,Joachim Horn-Bernges,Michał Krystian Wiśniewski;Middle
2003;Iceland;Birgitta;Open Your Heart;Birgitta Haukdal Brynjarsdóttir,Hallgrímur Óskarsson;Hallgrímur Óskarsson;Middle
2003;Spain;Beth;Dime;Amaya Martínez,Jesús María Pérez;Unknown;Middle
2003;Romania;Nicola;Dont Break My Heart;Mihai Alexandru;Nicola;Very long
2003;Ireland;Mickey Harte;We've Got The World;Keith Molloy,Martin Brannigan;Unknown;Long
2003;Germany;Lou;Lets Get Happy;Ralph Siegel;Gunter Johansen;Very long
2003;The Netherlands;Esther Hart;One More Night;Alan Michael,Tjeerd van Zanen;Unknown;Very long
2003;Ukraine;Olexandr;Hasta La Vista;Svika Pick;Mirit Shem Or;Middle
2003;Croatia;Claudia Beni;Vie Nisam Tvoja;Andrej Babić;Unknown;Middle
2003;Bosnia and Herzegovina;Mija Martina;Ne Brini;Ines Prajo;Arjana Kunštek;Middle
2003;Greece;Mando;Never Let You Go;Mando;Teri Siganos;Short
2003;France;Louisa Baileche;Monts Et Merveilles;Hocine Hallaf;Unknown;Long
2003;Israel;Lior Narkis;Words For Love;Yoni Rohe;Yossi Gispan;Long
2003;Cyprus;Stelios Constantas;Feeling Alive;Stelios Constantas;Unknown;Very long
2003;Estonia;Ruffus;Eighties Coming Back;Vaiko Eplik;Unknown;Long
2003;Portugal;Rita Guerra;Deixa-me Sonhar;Paulo Martins;Unknown;Short
2003;Slovenia;Karmen;Nanana;Martin Štibernik;Karmen Stavec;Long
2003;Latvia;F.L.Y.;Hello From Mars;Lauris Reiniks,Mārtiņš Freimanis;Unknown;Middle
2003;Malta;Lynn Chirchop;To Dream Again;Alfred Zammit;Cynthia Sammut;Long
2003;United Kingdom;Jemini;Cry Baby;Martin Isherwood;Unknown;Very long
2004;Ukraine;Ruslana;Wild Dances;Ruslana;Fayney,Jamie Maher,Oleksandr Ksenofontov,Ruslana,Sherena Dugani;Middle
2004;Serbia and Montenegro;Željko Joksimović;Lane Moje;Željko Joksimović;Leontina Vukomanović;Very short
2004;Greece;Sakis Rouvas;Shake It;Nikos Terzis;Nektarios Tirakis;Very long
2004;Turkey;Athena;For Real;Gökhan Özoğuz,Hakan Özoğuz;Unknown;Middle
2004;Cyprus;Lisa Andreas;Stronger Every Minute;Mike Connaris;Unknown;Short
2004;Sweden;Lena Philipsson;It Hurts;Thomas 'Orup' Eriksson;Unknown;Long
2004;Albania;Anjeza Shahini;The Image Of You;Edmond Zhulali;Xhuli Teilor;Long
2004;Germany;Max;Can't Wait Until Tonight;Stefan Raab;Unknown;Middle
2004;Bosnia and Herzegovina;Deen;In The Disco;Vesna Pisarović;Unknown;Middle
2004;Spain;Ramón;Para Llenarme De Ti;Kike Santander;Unknown;Very long
2004;Russia;Julia Savicheva;Believe Me;Maxim Fadeev;Brenda Loring;Short
2004;Malta;Julie & Ludwig;On Again... Off Again;Philip Vella;Gerard James Borg;Very long
2004;Croatia;Ivan Mikulic;You Are The Only One;Ivan Mikulić,Vedran Ostojić;Duško Gruborović;Long
2004;Macedonia;Tose Proeski;Life;Jovan Jovanov;Ilija Nikolovski;Very long
2004;France;Jonatan Cerrada;A Chaque Pas;Ben 'Jammin' Robbins,Steve Balsamo;Jonatan Cerrada;Middle
2004;United Kingdom;James Fox;Hold On To Our Love;Gary Miller;Tim Woodcock;Long
2004;Poland;Blue Cafe;Love Song;Paweł Rurak-Sokal;Tatiana Okupnik;Middle
2004;Romania;Sanda Ladosi;I Admit;George Popa;Irina Gligor;Very long
2004;Iceland;Jónsi;Heaven;Sveinn Rúnar Sigurðsson;Magnús Þór Sigmundsson;Short
2004;The Netherlands;Re-union;Without You;Ed van Otterdijk;Angeline van Otterdijk;Long
2004;Austria;Tie Break;Du Bist;Peter Zimmermann;Unknown;Very long
2004;Belgium;Xandee;1 Life;Marc Paelinck;Dirk Paelinck;Short
2004;Ireland;Chris Doran;If My World Stopped Turning;Bryan McFadden;Jonathan Shorten;Long
2004;Norway;Knut Anders Sørum;High;Lars Andersson,Thomas Thörnholm;Dan Attlerud;Long
2004;Estonia;Neiokõsõ;Tii;Glen Pilvre,Priit Pajusaar;Aapo Ilves;Long
2004;Israel;David D'or;Le'ha'amin;David D'or,Ofer Meiri;David D'or;Short
2004;Denmark;Tomas Thordarson;Shame On You;Ivar Lind Greiner;Iben Plesner;Very long
2004;Finland;Jari Sillanpää;Takes 2 To Tango;Mika Toivanen;Jari Sillanpää;Long
2004;Portugal;Sofia;Foi Magia;Paulo Neves;Unknown;Middle
2004;Lithuania;Linas ir Simona;What's Happened To Your Love;Linas Adomaitis,Michalis Antoniou;Camden-MS;Long
2004;Latvia;Fomins & Kleins;Dziesma Par Laimi;Tomass Kleins;Guntars Račs;Long
2004;Andorra;Marta Roure;Jugarem A Estimar-nos;Jofre Bardagí;Unknown;Very long
2004;Belarus;Aleksandra & Konstantin;My Galileo;Alexandra Kirsanova,Konstantin Drapezo;Alexey Solomakha;Short
2004;Monaco;Maryon;Notre Planète;Philippe Bosco;Patrick Sassier;Middle
2004;Slovenia;Platin;Stay Forever;Simon Gomilšek;Diana Lečnik;Middle
2004;Switzerland;Piero Esteriore & the MusicStars;Celebrate;Greg Manning;Unknown;Very long
2005;Greece;Helena Paparizou;My Number One;Christos Dantis;Christos Dantis,Natalia Germanou;Long
2005;Malta;Chiara;Angel;Chiara;Unknown;Short
2005;Romania;Luminita Anghel & Sistem;Let Me Try;Cristian Faur;Unknown;Short
2005;Israel;Shiri Maymon;Hasheket Shenish'ar;Pini Aaronbayev;Ben Green,Eyal Shahar,Pini Aaronbayev;Middle
2005;Latvia;Walter & Kazha;The War Is Not Over;Mārtiņš Freimanis;Unknown;Short
2005;Moldova;Zdob şi Zdub;Boonika Bate Doba;Mihai Gîncu;Roman Iagupov;Very long
2005;Serbia and Montenegro;No Name;Zauvijek Moja;Slaven Knezović;Milan Perić;Very short
2005;Switzerland;Vanilla Ninja;Cool Vibes;David Brandes,Jane Tempest;John O'Flynn;Very long
2005;Norway;Wig Wam;In My Dreams;Trond Holter;Unknown;Middle
2005;Denmark;Jakob Sveistrup;Talking To You;Andreas Mørck,Jacob Launbjerg;Unknown;Long
2005;Croatia;Boris Novkovic feat. Lado members;Vukovi Umiru Sami;Franjo Valentić;Boris Novković;Short
2005;Hungary;NOX;Forogj Világ;Szabolcs Harmath;Attila Valla;Middle
2005;Turkey;Gülseren;Rimi Rimi Ley;Erdinç Tunç;Göksan Arman;Long
2005;Bosnia and Herzegovina;Feminnem;Call Me;Andrej Babić;Unknown;Very long
2005;Russia;Natalia Podolskaya;Nobody Hurt No One;Viktor Drobysh;JP Järvinen,Mary Susan Applegate;Long
2005;Albania;Ledina Celo;Tomorrow I Go;Adrian Hila;Pandi Laço,Sidorela Risto;Middle
2005;Macedonia;Martin Vucic;Make My Day;Dragan Vučić;Branka Kostić;Middle
2005;Cyprus;Constantinos Christoforou;Ela Ela;Constantinos Christoforou;Unknown;Very long
2005;Sweden;Martin Stenmarck;Las Vegas;Johan Fransson,Niklas Edberger,Tim Larsson,Tobias Lundgren;Unknown;Long
2005;Ukraine;Greenjolly;Razom Nas Bahato;Roman Kalyn,Roman Kostyuk;Mikola Kulinich,Roman Kalyn,Roman Kostyuk;Very long
2005;Spain;Son de sol;Brujería;Alfredo Panebianco;Unknown;Very long
2005;United Kingdom;Javine;Touch My Fire;John Themis;Javine;Very long
2005;France;Ortal;Chacun Pense à Soi;Ortal,Saad Tabainet;Unknown;Very long
2005;Germany;Gracia;Run & Hide;David Brandes,Jane Tempest;John O'Flynn;Middle
2005;Poland;Ivan & Delfin;Czarna Dziewczyna;Łukasz Lazer;Ivan Komarenko,Michał Szymański;Middle
2005;Slovenia;Omar Naber;Stop;Omar Naber,Urša Vlašič;Omar Naber;Short
2005;Belarus;Angelica Agurbash;Love Me Tonight;Nikos Terzis;Nektarios Tirakis;Middle
2005;The Netherlands;Glennis Grace;My Impossible Dream;Robert D. Fisher;Bruce Smith;Short
2005;Ireland;Donna and Joseph McCaul;Love?;Karl Broderick;Unknown;Very long
2005;Iceland;Selma;If I Had Your Love;Vignir Snær Vigfússon,Þorvaldur Bjarni Þorvaldsson;Linda Thompson,Selma Björnsdóttir;Short
2005;Portugal;2B;Amar;Ernesto Leite,José Da Ponte;Alexandre Honrado,Ernesto Leite,José Da Ponte;Long
2005;Finland;Geir Rönning;Why;Mika Toivanen;Steven Stewart;Very long
2005;Bulgaria;Kaffe;Lorraine;Vesselin Vesselinov-Eko;Orlin Pavlov,Vesselin Vesselinov-Eko;Long
2005;Estonia;Suntribe;Let's Get Loud;Sven Lõhmus;Unknown;Very long
2005;Austria;Global.Kryner;Y Así;Edi Köhldorfer;Christof Spörk;Middle
2005;Belgium;Nuno Resende;Le Grand Soir;Alec Mansion,Frédéric Zeitoun;Unknown;Very short
2005;Andorra;Marian van de Wal;La Mirada Interior;Rafael Artesero Herrero;Daniel Aragay,Rafael Artesero Herrero,Rafael Fernández;Middle
2005;Monaco;Lise Darly;Tout De Moi;Philippe Bosco;Unknown;Middle
2005;Lithuania;Laura and the Lovers;Little By Little;Bobby Ljunggren;William 'Billy' Butt;Middle
2006;Finland;Lordi;Hard Rock Hallelujah;Mr. Lordi;Unknown;Very long
2006;Russia;Dima Bilan;Never Let You Go;Alexander Lunyev;Irina Antonyan,Karen Kavaleryan;Very long
2006;Bosnia and Herzegovina;Hari Mata Hari;Lejla;Željko Joksimović;Dejan Ivanović,Fahrudin Pecikoza-Peca;Very short
2006;Romania;Mihai Traistariu;Tornero;Eduard Cîrcotă;Cristian Hriscu,Mihaela Deac;Middle
2006;Sweden;Carola;Invincible;Bobby Ljunggren,Henrik Wikström,Thomas G:son;Carola Häggkvist,Thomas G:son;Short
2006;Lithuania;LT United;We Are The Winners;Andrius Mamontovas,Saulius 'Samas' Urbonavičius;Andrius Mamontovas,Viktoras Diawara;Long
2006;Ukraine;Tina Karol;Show Me Your Love;Mikhail Nekrasov,Tina Karol;Pavlo Shylko;Very long
2006;Armenia;André;Without Your Love;Armen Martirosyan;Catherine Bekian;Very long
2006;Greece;Anna Vissi;Everything;Nikos Karvelas;Anna Vissi;Middle
2006;Ireland;Brian Kennedy;Every Song Is A Cry For Love;Brian Kennedy;Unknown;Short
2006;Turkey;Sibel Tüzün;Superstar;Sibel Tüzün;Unknown;Long
2006;Macedonia;Elena Risteska;Ninanajna;Darko Dimitrov;Rade Vrčakovski;Long
2006;Croatia;Severina;Moja tikla;Boris Novković,Franjo Valentić;Severina;Very long
2006;Norway;Christine Guldbrandsen;Alvedansen;Atle Halstensen,Kjetil Fluge;Unknown;Very short
2006;Germany;Texas Lightning;No, No, Never;Jane Comerford;Unknown;Very long
2006;Switzerland;Six4One;If We All Give A Little;Ralph Siegel;Gunter Johansen;Very long
2006;Latvia;Cosmos;I Hear Your Heart;Andris Sējāns,Reinis Sējāns;Guntars Račs,Molly-Ann Leikin;Very long
2006;Denmark;Sidsel Ben Semmane;Twist Of Love;Niels Drevsholt;Unknown;Long
2006;United Kingdom;Daz Sampson;Teenage Life;Daz Sampson,John Matthews;Unknown;Very long
2006;Moldova;Arsenium & Natalia Gordienko;Loca;Arsenium;Unknown;Very long
2006;Spain;Las Ketchup;Bloody Mary;Queco;Unknown;Long
2006;France;Virginie Pouchin;Il était Temps;Corneille;Unknown;Short
2006;Israel;Eddie Butler;Ze Hazman;Eddie Butler;Eddie Butler,Orly Burg,Osnat Zabag;Long
2006;Malta;Fabrizio Faniello;I Do;Aldo Spiteri,Fabrizio Faniello;Unknown;Long
2006;Poland;Ich Troje;Follow My Heart;André Franke;André Franke,Michał Krystian Wiśniewski,Nikolai Galanov,Real McCoy,Wiliam Lennox;Very long
2006;Belgium;Kate Ryan;Je t'adore;Kate Ryan,Lisa Greene,Niclas Kings,Niklas Bergwall;Unknown;Long
2006;Iceland;Silvia Night;Congratulations;Þorvaldur Bjarni Þorvaldsson;Silvia Night;Very long
2006;Albania;Luiz Ejlli;Zjarr E Ftohtë;Klodian Qafoku;Dr. Flori;Long
2006;Cyprus;Annet Artani;Why Angels Cry;Peter Yiannakis;Unknown;Short
2006;Slovenia;Anej Dean;Mr. Nobody;Matjaž Vlašič;Urša Vlašič;Short
2006;Bulgaria;Mariana Popova;Let Me Cry;Dani Milev;Elina Gavrilova;Short
2006;Estonia;Sandra;Through My Window;Alar Kotkas,Ilmar Laisaar,Pearu Paulus;Jana Hallas;Long
2006;Portugal;Nonstop;Coisas De Nada;Elvis Veiguinha,José Manuel Afonso;Unknown;Very long
2006;The Netherlands;Treble;Amambanda;Caroline Hoffman,Djem van Dijk,Niña van Dijk;Unknown;Very long
2006;Monaco;Séverine Ferrer;La Coco-dance;Iren Bo,J. Woodfeel;Unknown;Middle
2006;Belarus;Polina Smolova;Mum;Sergey Sukhomlin;Andrey Kostiugov;Very long
2006;Andorra;Jennifer;Sense Tu;Joan Antoni Rechi,Rafael Artesero Herrero;Unknown;Long
2007;Serbia;Marija Šerifović;Molitva;Vladimir Graić;Saša Milošević Mare;Short
2007;Ukraine;Verka Serduchka;Dancing Lasha Tumbai;Andrei Danilko;Unknown;Very long
2007;Russia;Serebro;Song # 1;Maxim Fadeev;Daniil Babichev;Very long
2007;Turkey;Kenan Dogulu;Shake It Up Shekerim;Kenan Doğulu;Unknown;Very long
2007;Bulgaria;Elitsa Todorova & Stoyan Yankulov;Water;Elitsa Todorova,Stoyan Yankoulov;Elitsa Todorova;Short
2007;Belarus;Dmitry Koldun;Work Your Magic;Dimitris Kontopoulos,Philipp Kirkorov;Karen Kavaleryan;Long
2007;Greece;Sarbel;Yassou Maria;Alex Papaconstantinou,Marcus Englöf;Mack;Middle
2007;Armenia;Hayko;Anytime You Need;Hayko;Karen Kavaleryan;Very short
2007;Hungary;Magdi Rúzsa;Unsubstantial Blues;Magdi Rúzsa;Imre Mózsik;Middle
2007;Moldova;Natalia Barbu;Fight;Alexandru Braşoveanu;Elena Buga;Short
2007;Bosnia and Herzegovina;Marija Sestic;Rijeka Bez Imena;Goran Kovačić;Aleksandra Milutinović;Very short
2007;Georgia;Sopho;Visionary Dream;Beqa Jafaridze;Bibi Kvachadze;Short
2007;Romania;Todomondo;Liubi, Liubi, I Love You;Mister M;Kamara Ghedi,Mister M,Vlad Creţu;Very long
2007;Macedonia;Karolina;Mojot Svet;Grigor Koprov;Ognen Nedelkovski;Middle
2007;Slovenia;Alenka Gotar;Cvet Z Juga;Andrej Babić;Unknown;Very short
2007;Latvia;Bonaparti.lv;Questa Notte;Kjell Jennstig;Francesca Russo,Kjell Jennstig,Torbjörn Wassenius;Short
2007;Finland;Hanna Pakarinen;Leave Me Alone;Martti Vuorinen,Miikka Huttunen;Hanna Pakarinen,Martti Vuorinen;Middle
2007;Sweden;The Ark;The Worrying Kind;Ola Salo;Unknown;Very long
2007;Germany;Roger Cicero;Frauen Regieren Die Welt;Matthias Hass;Frank Ramond;Very long
2007;Spain;NASH;I Love You Mi Vida;Andreas Rickstrand,Thomas G:son;Rebeca Pous del Toro,Tony Sánchez-Ohlsson;Very long
2007;Lithuania;4Fun;Love Or Leave;Julija Ritčik;Unknown;Middle
2007;France;Les Fatals Picards;L'amour à La Française;Ivan Callot,Jean-Marc Sauvagnargues,Laurent Honel,Paul Léger,Yves Giraud;Unknown;Very long
2007;United Kingdom;Scooch;Flying The Flag (for You);Andrew Hill,Morten Schjolin,Paul Tarry,Russ Spencer;Unknown;Very long
2007;Ireland;Dervish;They Can't Stop The Spring;John Waters,Tommy Moran;Unknown;Short
2007;Portugal;Sabrina;Dança Comigo (vem Ser Feliz);Emanuel;Emanuel,Tó Maria Vinhas;Middle
2007;Andorra;Anonymous;Salvem El Món;Guillem Gallego,Niki Francesca,Alejandro Martínez;Unknown;Very long
2007;Iceland;Eiríkur Hauksson;Valentine Lost;Sveinn Rúnar Sigurðsson;Peter Fenner;Middle
2007;Poland;The Jet Set;Time To Party;Mateusz Krezan;David Junior Serame,Kamil Varen;Very long
2007;Cyprus;Evridiki;Comme Ci, Comme ça;Dimitris Korgialas;Poseidon Giannopoulos;Long
2007;Croatia;Dragonfly feat. Dado Topic;Vjerujem U Ljubav;Dado Topić;Unknown;Middle
2007;Albania;Aida & Frederik Ndoci;Hear My Plea;Adrian Hila;June Muftaraj Taylor,Pandi Laço;Very short
2007;Norway;Guri Schanke;Ven A Bailar Conmigo;Thomas G:son;Unknown;Long
2007;Denmark;DQ;Drama Queen;Peter Andersen,Simon Munk;Claus Christensen,Peter Andersen;Middle
2007;Switzerland;DJ BoBo;Vampires Are Alive;Axel Breitung,DJ BoBo;Unknown;Middle
2007;The Netherlands;Edsilia Rombley;On Top Of The World;Tjeerd Oosterhuis;Maarten ten Hove,Martin Gijzemijter,Tjeerd Oosterhuis;Long
2007;Montenegro;Stevan Faddy;Ajde Kroci;Slaven Knezović;Milan Perić;Short
2007;Estonia;Gerli Padar;Partners In Crime;Hendrik Sal-Saller;Berit Veiber;Middle
2007;Israel;Teapacks;Push The Button;Kobi Oz;Unknown;Very long
2007;Malta;Olivia Lewis;Vertigo;Philip Vella;Gerard James Borg;Middle
2007;Belgium;The KMG's;Love Power;Paul Curtiz;Paul Curtiz,Sexyfire;Long
2007;Austria;Eric Papilaya;Get A Life - Get Alive;Greg Usek;Austin Howard;Very long
2007;Czech Republic;Kabát;Malá Dáma;Josef Vojtek,Milan Špalek,Ota Váňa,Radek Hurčík,Tomáš Krulich;Unknown;Long
2008;Russia;Dima Bilan;Believe;Jim Beanz;Dima Bilan;Long
2008;Ukraine;Ani Lorak;Shady Lady;Dimitris Kontopoulos,Philipp Kirkorov;Karen Kavaleryan;Long
2008;Greece;Kalomira;Secret Combination;Konstantinos Pantzis;Poseidon Giannopoulos;Long
2008;Armenia;Sirusho;Qele, Qele;H.A. Der-Hovagimian;Sirusho;Short
2008;Norway;Maria;Hold On Be Strong;Mira Craig;Unknown;Long
2008;Serbia;Jelena Tomašević feat. Bora Dugic;Oro;Željko Joksimović;Dejan Ivanović;Very short
2008;Turkey;Mor ve Ötesi;Deli;Burak Güven,Harun Tekin,Kerem Kabadayı,Kerem Özyeğen;Unknown;Short
2008;Azerbaijan;Elnur & Samir;Day After Day;Goher Hesenzade;Zahra Bədəlbəyli;Short
2008;Israel;Boaz;The Fire In Your Eyes;Dana International;Dana International,Shai Kerem;Very short
2008;Bosnia and Herzegovina;Laka;Pokušaj;Laka;Unknown;Middle
2008;Georgia;Diana Gurtskaya;Peace Will Come;Kim Breitburg;Karen Kavaleryan;Long
2008;Latvia;Pirates Of The Sea;Wolves Of The Sea;Claes Andreasson,Johan Sahlen,Jonas Liberg,Torbjörn Wassenius;Jonas Liberg;Very long
2008;Portugal;Vânia Fernandes;Senhora Do Mar (Negras Águas);Andrej Babić;Carlos Coelho;Short
2008;Iceland;Euroband;This Is My Life;Örlygur Smári;Paul Oscar,Peter Fenner;Middle
2008;Denmark;Simon Mathew;All Night Long;Jacob Launbjerg,Nis Bøgvad,Svend Gudiksen;Unknown;Very short
2008;Spain;Rodolfo Chikilicuatre;Baila El Chiki Chiki;Alberto Romero Tomás,Angel Cotobal Albaina,Eduardo Dols Pérez Guillem,Jair Dominguez Torregrosa,Javier Martín Torrente,Joan Grau Ginesta,Marcos Rodriguez Corral,Oriol Jara Vales,Rafel Barceló Figueira,David Fernández,Roger Rubio Mora;Unknown;Very long
2008;Albania;Olta Boka;Zemrën E Lamë Peng;Adrian Hila;Pandi Laço;Short
2008;Sweden;Charlotte Perrelli;Hero;Bobby Ljunggren,Fredrik Kempe;Fredrik Kempe;Long
2008;France;Sébastien Tellier;Divine;Sébastien Tellier;Amandine de La Richardière,Sébastien Tellier;Short
2008;Romania;Nico & Vlad;Pe-o Margine De Lume;Andrei Tudor;Adina Şuteu,Andreea Andrei;Middle
2008;Croatia;Kraljevi Ulice & 75 Cents;Romanca;Miran 'Hadži' Veljković;Unknown;Long
2008;Finland;Teräsbetoni;Missä Miehet Ratsastaa;Jarkko Ahola;Unknown;Middle
2008;Germany;No Angels;Disappear;Hanne Sørvaag,Remee,Thomas Troelsen;Unknown;Middle
2008;Poland;Isis Gee;For Life;Isis Gee;Unknown;Short
2008;United Kingdom;Andy Abraham;Even If;Andy Abraham,Andy Watkins,Paul Wilson;Unknown;Very long
2008;Macedonia;Tamara, Vrčak & Adrijan;Let Me Love You;Rade Vrčakovski;Unknown;Very long
2008;Bulgaria;Deep Zone & Balthazar;DJ, Take Me Away;Dian Savov;Unknown;Very short
2008;Switzerland;Paolo Meneguzzi;Era Stupendo;Paolo Meneguzzi;Paolo Meneguzzi,Vincenzo Incenzo;Very short
2008;Malta;Morena;Vodka;Philip Vella;Gerard James Borg;Middle
2008;Slovenia;Rebeka Dremelj;Vrag Naj Vzame;Josip Miani-Pipi;Igor Mazul Amon;Middle
2008;Moldova;Geta Burlacu;A Century Of Love;Oleg Baraliuc;Viorica Demici;Middle
2008;Cyprus;Evdokia Kadi;Femme Fatale;Nikos Evangelou;Vangelis Evangelou;Long
2008;Lithuania;Jeronimas Milius;Nomads In The Night;Vytautas Diškevičius;Jeronimas Milius;Short
