From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R
Georgia;BosniaHerzegovina;406;447;0;0%;0%;2.63%
Georgia;Bulgaria;696;1245;22;3.161%;1.767%;4.276%
Georgia;Croatia;812;245;3;0.3695%;1.224%;0.7233%
Georgia;Cyprus;870;812;34;3.908%;4.187%;2.244%
Georgia;Czech;638;479;12;1.881%;2.505%;1.791%
Georgia;Denmark;928;1142;17;1.832%;1.489%;2.979%
Georgia;Estonia;928;610;18;1.94%;2.951%;1.591%
Georgia;Finland;928;276;0;0%;0%;0.7199%
Georgia;France;928;941;18;1.94%;1.913%;2.454%
Georgia;Germany;928;964;15;1.616%;1.556%;2.514%
Georgia;Greece;928;1042;19;2.047%;1.823%;2.718%
Georgia;Hungary;870;847;7;0.8046%;0.8264%;2.348%
Georgia;Iceland;928;549;3;0.3233%;0.5464%;1.432%
Georgia;Ireland;928;336;0;0%;0%;0.8764%
Georgia;Israel;928;1030;30;3.233%;2.913%;2.687%
Georgia;Italy;754;1979;34;4.509%;1.718%;6.354%
Georgia;Latvia;928;455;19;2.047%;4.176%;1.187%
Georgia;Lithuania;928;589;47;5.065%;7.98%;1.536%
Georgia;Luxembourg;0;0;0;nan%;nan%;nan%
Georgia;Macedonia;928;449;3;0.3233%;0.6682%;1.171%
Georgia;Malta;928;453;3;0.3233%;0.6623%;1.182%
Georgia;Moldova;928;968;12;1.293%;1.24%;2.525%
Georgia;Monaco;0;0;0;nan%;nan%;nan%
Georgia;Montenegro;812;81;0;0%;0%;0.2412%
Georgia;Morocco;0;0;0;nan%;nan%;nan%
Georgia;Netherlands;928;1274;19;2.047%;1.491%;3.323%
Georgia;Norway;928;1238;22;2.371%;1.777%;3.229%
Georgia;Poland;812;379;4;0.4926%;1.055%;1.127%
Georgia;Portugal;754;909;20;2.653%;2.2%;2.913%
Georgia;Romania;812;893;0;0%;0%;2.668%
Georgia;Russia;812;2332;59;7.266%;2.53%;6.968%
Georgia;SanMarino;812;91;10;1.232%;10.99%;0.2705%
Georgia;Serbia;870;1169;6;0.6897%;0.5133%;3.23%
Georgia;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Georgia;Slovakia;174;0;0;0%;nan%;0%
Georgia;Slovenia;928;379;4;0.431%;1.055%;0.9886%
Georgia;Spain;928;607;2;0.2155%;0.3295%;1.583%
Georgia;Sweden;928;2513;53;5.711%;2.109%;6.555%
Georgia;Switzerland;928;447;4;0.431%;0.8949%;1.166%
Georgia;Turkey;290;583;20;6.897%;3.431%;4.809%
Georgia;Ukraine;754;1824;91;12.07%;4.989%;5.835%
Georgia;UnitedKingdom;928;455;7;0.7543%;1.538%;1.187%
Georgia;Yugoslavia;0;0;0;nan%;nan%;nan%
Germany;Albania;1160;778;12;1.034%;1.542%;1.644%
Germany;Andorra;348;0;0;0%;nan%;0%
Germany;Armenia;986;1276;26;2.637%;2.038%;3.147%
Germany;Australia;522;1263;45;8.621%;3.563%;5.791%
Germany;Austria;1102;1110;47;4.265%;4.234%;2.629%
Germany;Azerbaijan;928;1710;5;0.5388%;0.2924%;4.46%
Germany;Belarus;1160;368;0;0%;0%;0.7776%
Germany;Belgium;1334;1182;41;3.073%;3.469%;2.29%
Germany;BosniaHerzegovina;812;1041;24;2.956%;2.305%;3.445%
Germany;Bulgaria;870;1245;21;2.414%;1.687%;3.457%
Germany;Croatia;1276;696;30;2.351%;4.31%;1.435%
Germany;Cyprus;1276;1136;17;1.332%;1.496%;2.296%
Germany;Czech;696;479;8;1.149%;1.67%;1.642%
Germany;Denmark;1334;1746;67;5.022%;3.837%;3.394%
Germany;Estonia;1392;1160;28;2.011%;2.414%;2.191%
Germany;Finland;1276;632;18;1.411%;2.848%;1.261%
Germany;France;1392;1374;22;1.58%;1.601%;2.595%
Germany;Georgia;928;631;8;0.8621%;1.268%;1.646%
Germany;Greece;1334;1971;93;6.972%;4.718%;3.823%
Germany;Hungary;986;944;26;2.637%;2.754%;2.315%
Germany;Iceland;1334;912;27;2.024%;2.961%;1.769%
Germany;Ireland;1334;587;29;2.174%;4.94%;1.138%
Germany;Israel;1392;1327;41;2.945%;3.09%;2.506%
Germany;Italy;754;1979;46;6.101%;2.324%;6.354%
Germany;Latvia;1392;966;34;2.443%;3.52%;1.824%
Germany;Lithuania;1276;821;10;0.7837%;1.218%;1.64%
Germany;Luxembourg;0;0;0;nan%;nan%;nan%
Germany;Macedonia;1276;658;7;0.5486%;1.064%;1.313%
Germany;Malta;1392;1016;34;2.443%;3.346%;1.919%
Germany;Moldova;1102;1207;12;1.089%;0.9942%;2.668%
Germany;Monaco;174;0;0;0%;nan%;0%
Germany;Montenegro;870;81;0;0%;0%;0.2249%
Germany;Morocco;0;0;0;nan%;nan%;nan%
Germany;Netherlands;1334;1386;48;3.598%;3.463%;2.688%
Germany;Norway;1334;1972;64;4.798%;3.245%;3.825%
Germany;Poland;1160;507;43;3.707%;8.481%;1.115%
Germany;Portugal;1102;997;32;2.904%;3.21%;2.317%
Germany;Romania;1218;1450;16;1.314%;1.103%;3.102%
Germany;Russia;1276;3206;82;6.426%;2.558%;6.668%
Germany;SanMarino;812;91;0;0%;0%;0.2705%
Germany;Serbia;928;1169;31;3.341%;2.652%;3.026%
Germany;Serbia&Montenegro;174;400;13;7.471%;3.25%;6.103%
Germany;Slovakia;232;0;0;0%;nan%;0%
Germany;Slovenia;1334;489;8;0.5997%;1.636%;0.9484%
Germany;Spain;1392;1019;16;1.149%;1.57%;1.924%
Germany;Sweden;1392;3283;76;5.46%;2.315%;6.2%
Germany;Switzerland;1276;634;25;1.959%;3.943%;1.265%
Germany;Turkey;754;1434;111;14.72%;7.741%;5.363%
Germany;Ukraine;1044;2385;24;2.299%;1.006%;5.711%
Germany;UnitedKingdom;1392;867;25;1.796%;2.884%;1.637%
Germany;Yugoslavia;0;0;0;nan%;nan%;nan%
Greece;Albania;1160;778;88;7.586%;11.31%;1.644%
Greece;Andorra;348;0;0;0%;nan%;0%
Greece;Armenia;986;1276;71;7.201%;5.564%;3.147%
Greece;Australia;522;1263;22;4.215%;1.742%;5.791%
Greece;Austria;1044;1076;20;1.916%;1.859%;2.635%
Greece;Azerbaijan;928;1710;53;5.711%;3.099%;4.46%
Greece;Belarus;1160;368;9;0.7759%;2.446%;0.7776%
Greece;Belgium;1276;1180;26;2.038%;2.203%;2.349%
Greece;BosniaHerzegovina;812;1041;9;1.108%;0.8646%;3.445%
Greece;Bulgaria;870;1245;36;4.138%;2.892%;3.457%
Greece;Croatia;1218;626;15;1.232%;2.396%;1.329%
Greece;Cyprus;1218;1128;174;14.29%;15.43%;2.346%
Greece;Czech;696;479;7;1.006%;1.461%;1.642%
Greece;Denmark;1276;1551;13;1.019%;0.8382%;3.099%
Greece;Estonia;1334;1062;24;1.799%;2.26%;2.06%
Greece;Finland;1218;614;12;0.9852%;1.954%;1.26%
Greece;France;1334;1369;53;3.973%;3.871%;2.655%
Greece;Georgia;928;631;32;3.448%;5.071%;1.646%
Greece;Germany;1334;1268;9;0.6747%;0.7098%;2.459%
Greece;Hungary;986;944;21;2.13%;2.225%;2.315%
Greece;Iceland;1276;867;9;0.7053%;1.038%;1.728%
Greece;Ireland;1276;495;0;0%;0%;0.9866%
Greece;Israel;1334;1320;16;1.199%;1.212%;2.56%
Greece;Italy;754;1979;68;9.019%;3.436%;6.354%
Greece;Latvia;1334;830;14;1.049%;1.687%;1.61%
Greece;Lithuania;1276;821;4;0.3135%;0.4872%;1.64%
Greece;Luxembourg;0;0;0;nan%;nan%;nan%
Greece;Macedonia;1218;629;1;0.0821%;0.159%;1.291%
Greece;Malta;1334;943;30;2.249%;3.181%;1.829%
Greece;Moldova;1102;1207;44;3.993%;3.645%;2.668%
Greece;Monaco;174;0;0;0%;nan%;0%
Greece;Montenegro;870;81;0;0%;0%;0.2249%
Greece;Morocco;0;0;0;nan%;nan%;nan%
Greece;Netherlands;1276;1346;14;1.097%;1.04%;2.683%
Greece;Norway;1276;1915;28;2.194%;1.462%;3.817%
Greece;Poland;1160;507;14;1.207%;2.761%;1.115%
Greece;Portugal;1102;997;13;1.18%;1.304%;2.317%
Greece;Romania;1160;1425;54;4.655%;3.789%;3.142%
Greece;Russia;1218;3051;105;8.621%;3.441%;6.535%
Greece;SanMarino;812;91;6;0.7389%;6.593%;0.2705%
Greece;Serbia;928;1169;19;2.047%;1.625%;3.026%
Greece;Serbia&Montenegro;174;400;14;8.046%;3.5%;6.103%
Greece;Slovakia;232;0;0;0%;nan%;0%
Greece;Slovenia;1334;489;4;0.2999%;0.818%;0.9484%
Greece;Spain;1334;1001;34;2.549%;3.397%;1.941%
Greece;Sweden;1334;3195;30;2.249%;0.939%;6.196%
Greece;Switzerland;1218;620;14;1.149%;2.258%;1.273%
Greece;Turkey;696;1375;29;4.167%;2.109%;5.425%
Greece;Ukraine;1044;2385;54;5.172%;2.264%;5.711%
Greece;UnitedKingdom;1334;839;22;1.649%;2.622%;1.627%
Greece;Yugoslavia;0;0;0;nan%;nan%;nan%
Hungary;Albania;986;610;20;2.028%;3.279%;1.496%
Hungary;Andorra;232;0;0;0%;nan%;0%
Hungary;Armenia;870;1006;13;1.494%;1.292%;2.789%
Hungary;Australia;522;1263;37;7.088%;2.93%;5.791%
Hungary;Austria;870;940;29;3.333%;3.085%;2.622%
Hungary;Azerbaijan;870;1565;59;6.782%;3.77%;4.338%
Hungary;Belarus;986;350;12;1.217%;3.429%;0.8584%
Hungary;Belgium;986;832;24;2.434%;2.885%;2.041%
Hungary;BosniaHerzegovina;464;581;0;0%;0%;2.99%
Hungary;Bulgaria;754;1245;36;4.775%;2.892%;3.946%
Hungary;Croatia;870;405;12;1.379%;2.963%;1.115%
Hungary;Cyprus;928;831;14;1.509%;1.685%;2.151%
Hungary;Czech;696;479;22;3.161%;4.593%;1.642%
Hungary;Denmark;986;1192;56;5.68%;4.698%;2.923%
Hungary;Estonia;986;739;13;1.318%;1.759%;1.812%
Hungary;Finland;986;298;6;0.6085%;2.013%;0.7309%
Hungary;France;986;977;3;0.3043%;0.3071%;2.396%
Hungary;Georgia;870;495;10;1.149%;2.02%;1.372%
Hungary;Germany;986;757;11;1.116%;1.453%;1.857%
Hungary;Greece;986;1252;40;4.057%;3.195%;3.071%
Hungary;Iceland;986;726;48;4.868%;6.612%;1.781%
Hungary;Ireland;986;311;3;0.3043%;0.9646%;0.7627%
Hungary;Israel;986;1166;27;2.738%;2.316%;2.86%
Hungary;Italy;754;1979;32;4.244%;1.617%;6.354%
Hungary;Latvia;986;608;14;1.42%;2.303%;1.491%
Hungary;Lithuania;986;612;8;0.8114%;1.307%;1.501%
Hungary;Luxembourg;0;0;0;nan%;nan%;nan%
Hungary;Macedonia;986;501;10;1.014%;1.996%;1.229%
Hungary;Malta;986;676;23;2.333%;3.402%;1.658%
Hungary;Moldova;986;1158;23;2.333%;1.986%;2.84%
Hungary;Monaco;58;0;0;0%;nan%;0%
Hungary;Montenegro;870;81;0;0%;0%;0.2249%
Hungary;Morocco;0;0;0;nan%;nan%;nan%
Hungary;Netherlands;986;1274;50;5.071%;3.925%;3.125%
Hungary;Norway;986;1715;45;4.564%;2.624%;4.206%
Hungary;Poland;870;379;11;1.264%;2.902%;1.051%
Hungary;Portugal;812;923;19;2.34%;2.059%;2.744%
Hungary;Romania;870;929;26;2.989%;2.799%;2.588%
Hungary;Russia;870;2390;49;5.632%;2.05%;6.657%
Hungary;SanMarino;812;91;10;1.232%;10.99%;0.2705%
Hungary;Serbia;870;1097;23;2.644%;2.097%;3.017%
Hungary;Serbia&Montenegro;58;137;2;3.448%;1.46%;6.057%
Hungary;Slovakia;174;0;0;0%;nan%;0%
Hungary;Slovenia;986;379;9;0.9128%;2.375%;0.9295%
Hungary;Spain;986;590;6;0.6085%;1.017%;1.447%
Hungary;Sweden;986;2576;61;6.187%;2.368%;6.318%
Hungary;Switzerland;986;575;12;1.217%;2.087%;1.41%
Hungary;Turkey;348;682;14;4.023%;2.053%;4.685%
Hungary;Ukraine;812;1822;38;4.68%;2.086%;5.407%
Hungary;UnitedKingdom;986;636;6;0.6085%;0.9434%;1.56%
Hungary;Yugoslavia;0;0;0;nan%;nan%;nan%
Iceland;Albania;1160;778;21;1.81%;2.699%;1.644%
Iceland;Andorra;348;0;0;0%;nan%;0%
Iceland;Armenia;986;1276;8;0.8114%;0.627%;3.147%
Iceland;Australia;522;1263;56;10.73%;4.434%;5.791%
Iceland;Austria;1044;1084;43;4.119%;3.967%;2.655%
Iceland;Azerbaijan;928;1710;24;2.586%;1.404%;4.46%
Iceland;Belarus;1160;368;4;0.3448%;1.087%;0.7776%
Iceland;Belgium;1276;1149;39;3.056%;3.394%;2.288%
Iceland;BosniaHerzegovina;754;1008;5;0.6631%;0.496%;3.497%
Iceland;Bulgaria;870;1245;10;1.149%;0.8032%;3.457%
Iceland;Croatia;1218;652;9;0.7389%;1.38%;1.384%
Iceland;Cyprus;1218;1051;21;1.724%;1.998%;2.186%
Iceland;Czech;696;479;24;3.448%;5.01%;1.642%
Iceland;Denmark;1276;1739;126;9.875%;7.246%;3.474%
Iceland;Estonia;1334;1049;47;3.523%;4.48%;2.034%
Iceland;Finland;1218;608;57;4.68%;9.375%;1.248%
Iceland;France;1334;1270;49;3.673%;3.858%;2.463%
Iceland;Georgia;928;631;2;0.2155%;0.317%;1.646%
Iceland;Germany;1334;1347;39;2.924%;2.895%;2.612%
Iceland;Greece;1276;1944;29;2.273%;1.492%;3.875%
Iceland;Hungary;986;944;31;3.144%;3.284%;2.315%
Iceland;Ireland;1334;587;17;1.274%;2.896%;1.138%
Iceland;Israel;1334;1290;20;1.499%;1.55%;2.502%
Iceland;Italy;754;1979;30;3.979%;1.516%;6.354%
Iceland;Latvia;1334;790;24;1.799%;3.038%;1.532%
Iceland;Lithuania;1218;809;15;1.232%;1.854%;1.662%
Iceland;Luxembourg;0;0;0;nan%;nan%;nan%
Iceland;Macedonia;1218;633;8;0.6568%;1.264%;1.299%
Iceland;Malta;1334;852;16;1.199%;1.878%;1.652%
Iceland;Moldova;1102;1207;14;1.27%;1.16%;2.668%
Iceland;Monaco;174;0;0;0%;nan%;0%
Iceland;Montenegro;870;81;0;0%;0%;0.2249%
Iceland;Morocco;0;0;0;nan%;nan%;nan%
Iceland;Netherlands;1334;1386;51;3.823%;3.68%;2.688%
Iceland;Norway;1334;1972;97;7.271%;4.919%;3.825%
Iceland;Poland;1160;507;19;1.638%;3.748%;1.115%
Iceland;Portugal;1102;997;38;3.448%;3.811%;2.317%
Iceland;Romania;1160;1379;23;1.983%;1.668%;3.04%
Iceland;Russia;1218;3151;50;4.105%;1.587%;6.749%
Iceland;SanMarino;812;91;1;0.1232%;1.099%;0.2705%
Iceland;Serbia;928;1169;14;1.509%;1.198%;3.026%
Iceland;Serbia&Montenegro;174;400;7;4.023%;1.75%;6.103%
Iceland;Slovakia;232;0;0;0%;nan%;0%
Iceland;Slovenia;1276;456;8;0.627%;1.754%;0.9089%
Iceland;Spain;1334;938;11;0.8246%;1.173%;1.819%
Iceland;Sweden;1334;3211;150;11.24%;4.671%;6.227%
Iceland;Switzerland;1218;619;19;1.56%;3.069%;1.271%
Iceland;Turkey;696;1405;11;1.58%;0.7829%;5.543%
Iceland;Ukraine;1044;2385;32;3.065%;1.342%;5.711%
Iceland;UnitedKingdom;1334;756;15;1.124%;1.984%;1.466%
Iceland;Yugoslavia;0;0;0;nan%;nan%;nan%
Ireland;Albania;1160;778;4;0.3448%;0.5141%;1.644%
Ireland;Andorra;348;0;0;0%;nan%;0%
Ireland;Armenia;986;1276;0;0%;0%;3.147%
Ireland;Australia;522;1263;25;4.789%;1.979%;5.791%
Ireland;Austria;1044;1084;27;2.586%;2.491%;2.655%
Ireland;Azerbaijan;928;1710;14;1.509%;0.8187%;4.46%
Ireland;Belarus;1160;368;0;0%;0%;0.7776%
Ireland;Belgium;1276;1149;55;4.31%;4.787%;2.288%
Ireland;BosniaHerzegovina;754;1008;5;0.6631%;0.496%;3.497%
Ireland;Bulgaria;870;1245;41;4.713%;3.293%;3.457%
Ireland;Croatia;1218;652;9;0.7389%;1.38%;1.384%
Ireland;Cyprus;1218;1051;27;2.217%;2.569%;2.186%
Ireland;Czech;696;479;9;1.293%;1.879%;1.642%
Ireland;Denmark;1276;1739;74;5.799%;4.255%;3.474%
Ireland;Estonia;1334;1049;54;4.048%;5.148%;2.034%
Ireland;Finland;1218;608;13;1.067%;2.138%;1.248%
Ireland;France;1334;1270;23;1.724%;1.811%;2.463%
Ireland;Georgia;928;631;6;0.6466%;0.9509%;1.646%
Ireland;Germany;1334;1347;62;4.648%;4.603%;2.612%
Ireland;Greece;1276;1944;17;1.332%;0.8745%;3.875%
Ireland;Hungary;986;944;8;0.8114%;0.8475%;2.315%
Ireland;Iceland;1334;912;25;1.874%;2.741%;1.769%
Ireland;Israel;1334;1290;23;1.724%;1.783%;2.502%
Ireland;Italy;754;1979;25;3.316%;1.263%;6.354%
Ireland;Latvia;1334;790;66;4.948%;8.354%;1.532%
Ireland;Lithuania;1218;809;81;6.65%;10.01%;1.662%
Ireland;Luxembourg;0;0;0;nan%;nan%;nan%
Ireland;Macedonia;1218;633;5;0.4105%;0.7899%;1.299%
Ireland;Malta;1334;852;30;2.249%;3.521%;1.652%
Ireland;Moldova;1102;1207;22;1.996%;1.823%;2.668%
Ireland;Monaco;174;0;0;0%;nan%;0%
Ireland;Montenegro;870;81;0;0%;0%;0.2249%
Ireland;Morocco;0;0;0;nan%;nan%;nan%
Ireland;Netherlands;1334;1386;53;3.973%;3.824%;2.688%
Ireland;Norway;1334;1972;68;5.097%;3.448%;3.825%
Ireland;Poland;1160;507;30;2.586%;5.917%;1.115%
Ireland;Portugal;1102;997;23;2.087%;2.307%;2.317%
Ireland;Romania;1160;1379;54;4.655%;3.916%;3.04%
Ireland;Russia;1218;3151;66;5.419%;2.095%;6.749%
Ireland;SanMarino;812;91;0;0%;0%;0.2705%
Ireland;Serbia;928;1169;4;0.431%;0.3422%;3.026%
Ireland;Serbia&Montenegro;174;400;3;1.724%;0.75%;6.103%
Ireland;Slovakia;232;0;0;0%;nan%;0%
Ireland;Slovenia;1276;456;4;0.3135%;0.8772%;0.9089%
Ireland;Spain;1334;938;10;0.7496%;1.066%;1.819%
Ireland;Sweden;1334;3211;95;7.121%;2.959%;6.227%
Ireland;Switzerland;1218;619;25;2.053%;4.039%;1.271%
Ireland;Turkey;696;1405;2;0.2874%;0.1423%;5.543%
Ireland;Ukraine;1044;2385;37;3.544%;1.551%;5.711%
Ireland;UnitedKingdom;1334;756;110;8.246%;14.55%;1.466%
Ireland;Yugoslavia;0;0;0;nan%;nan%;nan%
Israel;Albania;1160;778;0;0%;0%;1.644%
Israel;Andorra;348;0;0;0%;nan%;0%
Israel;Armenia;986;1276;55;5.578%;4.31%;3.147%
Israel;Australia;522;1263;40;7.663%;3.167%;5.791%
Israel;Austria;1102;1110;28;2.541%;2.523%;2.629%
Israel;Azerbaijan;928;1710;52;5.603%;3.041%;4.46%
Israel;Belarus;1160;368;19;1.638%;5.163%;0.7776%
Israel;Belgium;1334;1182;33;2.474%;2.792%;2.29%
Israel;BosniaHerzegovina;812;1041;2;0.2463%;0.1921%;3.445%
Israel;Bulgaria;870;1245;32;3.678%;2.57%;3.457%
Israel;Croatia;1276;696;3;0.2351%;0.431%;1.435%
Israel;Cyprus;1276;1136;9;0.7053%;0.7923%;2.296%
Israel;Czech;696;479;13;1.868%;2.714%;1.642%
Israel;Denmark;1334;1746;55;4.123%;3.15%;3.394%
Israel;Estonia;1392;1160;38;2.73%;3.276%;2.191%
Israel;Finland;1276;632;17;1.332%;2.69%;1.261%
Israel;France;1392;1374;64;4.598%;4.658%;2.595%
Israel;Georgia;928;631;15;1.616%;2.377%;1.646%
Israel;Germany;1392;1364;13;0.9339%;0.9531%;2.576%
Israel;Greece;1334;1971;39;2.924%;1.979%;3.823%
Israel;Hungary;986;944;19;1.927%;2.013%;2.315%
Israel;Iceland;1334;912;19;1.424%;2.083%;1.769%
Israel;Ireland;1334;587;8;0.5997%;1.363%;1.138%
Israel;Italy;754;1979;49;6.499%;2.476%;6.354%
Israel;Latvia;1392;966;27;1.94%;2.795%;1.824%
Israel;Lithuania;1276;821;8;0.627%;0.9744%;1.64%
Israel;Luxembourg;0;0;0;nan%;nan%;nan%
Israel;Macedonia;1276;658;0;0%;0%;1.313%
Israel;Malta;1392;1016;31;2.227%;3.051%;1.919%
Israel;Moldova;1102;1207;33;2.995%;2.734%;2.668%
Israel;Monaco;174;0;0;0%;nan%;0%
Israel;Montenegro;870;81;0;0%;0%;0.2249%
Israel;Morocco;0;0;0;nan%;nan%;nan%
Israel;Netherlands;1334;1386;29;2.174%;2.092%;2.688%
Israel;Norway;1334;1972;51;3.823%;2.586%;3.825%
Israel;Poland;1160;507;4;0.3448%;0.789%;1.115%
Israel;Portugal;1102;997;24;2.178%;2.407%;2.317%
Israel;Romania;1218;1450;90;7.389%;6.207%;3.102%
Israel;Russia;1276;3206;134;10.5%;4.18%;6.668%
Israel;SanMarino;812;91;0;0%;0%;0.2705%
Israel;Serbia;928;1169;5;0.5388%;0.4277%;3.026%
Israel;Serbia&Montenegro;174;400;7;4.023%;1.75%;6.103%
Israel;Slovakia;232;0;0;0%;nan%;0%
Israel;Slovenia;1334;489;14;1.049%;2.863%;0.9484%
Israel;Spain;1392;1019;65;4.67%;6.379%;1.924%
Israel;Sweden;1392;3283;100;7.184%;3.046%;6.2%
Israel;Switzerland;1276;634;16;1.254%;2.524%;1.265%
Israel;Turkey;754;1434;14;1.857%;0.9763%;5.363%
Israel;Ukraine;1044;2385;99;9.483%;4.151%;5.711%
Israel;UnitedKingdom;1392;867;19;1.365%;2.191%;1.637%
Israel;Yugoslavia;0;0;0;nan%;nan%;nan%
Italy;Albania;754;454;37;4.907%;8.15%;1.458%
Italy;Andorra;0;0;0;nan%;nan%;nan%
Italy;Armenia;696;577;5;0.7184%;0.8666%;2.01%
Italy;Australia;522;1263;24;4.598%;1.9%;5.791%
Italy;Austria;754;940;20;2.653%;2.128%;3.018%
Italy;Azerbaijan;754;1226;20;2.653%;1.631%;3.936%
Italy;Belarus;754;205;0;0%;0%;0.6582%
Italy;Belgium;754;832;16;2.122%;1.923%;2.671%
Italy;BosniaHerzegovina;232;180;4;1.724%;2.222%;1.836%
Italy;Bulgaria;522;1088;17;3.257%;1.562%;4.963%
Italy;Croatia;638;201;6;0.9404%;2.985%;0.7534%
Italy;Cyprus;696;785;20;2.874%;2.548%;2.707%
Italy;Czech;522;479;4;0.7663%;0.8351%;2.196%
Italy;Denmark;754;933;42;5.57%;4.502%;2.996%
Italy;Estonia;754;610;17;2.255%;2.787%;1.959%
Italy;Finland;754;188;6;0.7958%;3.191%;0.6036%
Italy;France;754;793;25;3.316%;3.153%;2.546%
Italy;Georgia;754;315;6;0.7958%;1.905%;1.011%
Italy;Germany;754;655;27;3.581%;4.122%;2.103%
Italy;Greece;754;545;12;1.592%;2.202%;1.75%
Italy;Hungary;754;719;9;1.194%;1.252%;2.308%
Italy;Iceland;754;444;19;2.52%;4.279%;1.426%
Italy;Ireland;754;306;5;0.6631%;1.634%;0.9825%
Italy;Israel;754;835;25;3.316%;2.994%;2.681%
Italy;Latvia;754;318;4;0.5305%;1.258%;1.021%
Italy;Lithuania;754;561;8;1.061%;1.426%;1.801%
Italy;Luxembourg;0;0;0;nan%;nan%;nan%
Italy;Macedonia;754;376;11;1.459%;2.926%;1.207%
Italy;Malta;754;453;24;3.183%;5.298%;1.454%
Italy;Moldova;754;832;46;6.101%;5.529%;2.671%
Italy;Monaco;0;0;0;nan%;nan%;nan%
Italy;Montenegro;696;81;0;0%;0%;0.2827%
Italy;Morocco;0;0;0;nan%;nan%;nan%
Italy;Netherlands;754;1274;13;1.724%;1.02%;4.09%
Italy;Norway;754;1021;38;5.04%;3.722%;3.278%
Italy;Poland;638;365;22;3.448%;6.027%;1.38%
Italy;Portugal;580;797;10;1.724%;1.255%;3.319%
Italy;Romania;638;602;35;5.486%;5.814%;2.291%
Italy;Russia;638;1763;36;5.643%;2.042%;6.71%
Italy;SanMarino;754;91;0;0%;0%;0.2922%
Italy;Serbia;696;669;17;2.443%;2.541%;2.307%
Italy;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Italy;Slovakia;116;0;0;0%;nan%;0%
Italy;Slovenia;754;313;0;0%;0%;1.005%
Italy;Spain;754;441;14;1.857%;3.175%;1.416%
Italy;Sweden;754;2415;27;3.581%;1.118%;7.754%
Italy;Switzerland;754;447;5;0.6631%;1.119%;1.435%
Italy;Turkey;116;112;0;0%;0%;2.272%
Italy;Ukraine;580;1251;62;10.69%;4.956%;5.197%
Italy;UnitedKingdom;754;412;16;2.122%;3.883%;1.323%
Italy;Yugoslavia;0;0;0;nan%;nan%;nan%
Latvia;Albania;1160;778;2;0.1724%;0.2571%;1.644%
Latvia;Andorra;348;0;0;0%;nan%;0%
Latvia;Armenia;986;1276;17;1.724%;1.332%;3.147%
Latvia;Australia;522;1263;33;6.322%;2.613%;5.791%
Latvia;Austria;1102;1110;32;2.904%;2.883%;2.629%
Latvia;Azerbaijan;928;1710;28;3.017%;1.637%;4.46%
Latvia;Belarus;1160;368;16;1.379%;4.348%;0.7776%
Latvia;Belgium;1334;1182;42;3.148%;3.553%;2.29%
Latvia;BosniaHerzegovina;812;1041;0;0%;0%;3.445%
Latvia;Bulgaria;870;1245;19;2.184%;1.526%;3.457%
Latvia;Croatia;1276;696;12;0.9404%;1.724%;1.435%
Latvia;Cyprus;1276;1136;13;1.019%;1.144%;2.296%
Latvia;Czech;696;479;7;1.006%;1.461%;1.642%
Latvia;Denmark;1334;1746;70;5.247%;4.009%;3.394%
Latvia;Estonia;1392;1160;105;7.543%;9.052%;2.191%
Latvia;Finland;1276;632;12;0.9404%;1.899%;1.261%
Latvia;France;1392;1374;31;2.227%;2.256%;2.595%
Latvia;Georgia;928;631;16;1.724%;2.536%;1.646%
Latvia;Germany;1392;1364;44;3.161%;3.226%;2.576%
Latvia;Greece;1334;1971;10;0.7496%;0.5074%;3.823%
Latvia;Hungary;986;944;11;1.116%;1.165%;2.315%
Latvia;Iceland;1334;912;27;2.024%;2.961%;1.769%
Latvia;Ireland;1334;587;21;1.574%;3.578%;1.138%
Latvia;Israel;1392;1327;16;1.149%;1.206%;2.506%
Latvia;Italy;754;1979;34;4.509%;1.718%;6.354%
Latvia;Lithuania;1276;821;90;7.053%;10.96%;1.64%
Latvia;Luxembourg;0;0;0;nan%;nan%;nan%
Latvia;Macedonia;1276;658;8;0.627%;1.216%;1.313%
Latvia;Malta;1392;1016;33;2.371%;3.248%;1.919%
Latvia;Moldova;1102;1207;24;2.178%;1.988%;2.668%
Latvia;Monaco;174;0;0;0%;nan%;0%
Latvia;Montenegro;870;81;0;0%;0%;0.2249%
Latvia;Morocco;0;0;0;nan%;nan%;nan%
Latvia;Netherlands;1334;1386;37;2.774%;2.67%;2.688%
Latvia;Norway;1334;1972;76;5.697%;3.854%;3.825%
Latvia;Poland;1160;507;13;1.121%;2.564%;1.115%
Latvia;Portugal;1102;997;28;2.541%;2.808%;2.317%
Latvia;Romania;1218;1450;14;1.149%;0.9655%;3.102%
Latvia;Russia;1276;3206;164;12.85%;5.115%;6.668%
Latvia;SanMarino;812;91;0;0%;0%;0.2705%
Latvia;Serbia;928;1169;3;0.3233%;0.2566%;3.026%
Latvia;Serbia&Montenegro;174;400;6;3.448%;1.5%;6.103%
Latvia;Slovakia;232;0;0;0%;nan%;0%
Latvia;Slovenia;1334;489;13;0.9745%;2.658%;0.9484%
Latvia;Spain;1392;1019;13;0.9339%;1.276%;1.924%
