From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R;% of given from L - % of gotten from all
Russia;Estonia;1276;1160;41;3,21%;3,53%;2,41%;0,80%
Israel;Estonia;1392;1160;38;2,73%;3,28%;2,19%;0,54%
Netherlands;Estonia;1334;1049;34;2,55%;3,24%;2,03%;0,52%
UnitedKingdom;Estonia;1392;1160;36;2,59%;3,10%;2,19%;0,40%
Turkey;Estonia;754;714;22;2,92%;3,08%;2,67%;0,25%
Georgia;Estonia;928;610;18;1,94%;2,95%;1,59%;0,35%
Portugal;Estonia;1102;932;27;2,45%;2,90%;2,17%;0,28%
Italy;Estonia;754;610;17;2,26%;2,79%;1,96%;0,30%
Poland;Estonia;1160;812;22;1,90%;2,71%;1,79%;0,11%
Norway;Estonia;1334;1049;28;2,10%;2,67%;2,03%;0,07%
Australia;Estonia;522;427;11;2,11%;2,58%;1,96%;0,15%
Germany;Estonia;1392;1160;28;2,01%;2,41%;2,19%;-0,18%
BosniaHerzegovina;Estonia;812;616;14;1,72%;2,27%;2,04%;-0,32%
Greece;Estonia;1334;1062;24;1,80%;2,26%;2,06%;-0,26%
Slovenia;Estonia;1334;1062;24;1,80%;2,26%;2,06%;-0,26%
France;Estonia;1392;1160;25;1,80%;2,16%;2,19%;-0,40%
Macedonia;Estonia;1276;948;20;1,57%;2,11%;1,89%;-0,33%
Malta;Estonia;1392;1160;24;1,72%;2,07%;2,19%;-0,47%
Belarus;Estonia;1160;739;15;1,29%;2,03%;1,56%;-0,27%
Ukraine;Estonia;1044;571;11;1,05%;1,93%;1,37%;-0,31%
Croatia;Estonia;1276;1054;20;1,57%;1,90%;2,17%;-0,61%
Hungary;Estonia;986;739;13;1,32%;1,76%;1,81%;-0,49%
Spain;Estonia;1392;1160;20;1,44%;1,72%;2,19%;-0,75%
Austria;Estonia;1102;833;14;1,27%;1,68%;1,97%;-0,70%
Cyprus;Estonia;1276;962;16;1,25%;1,66%;1,94%;-0,69%
Serbia;Estonia;928;739;11;1,19%;1,49%;1,91%;-0,73%
Azerbaijan;Estonia;928;739;11;1,19%;1,49%;1,93%;-0,74%
Czech;Estonia;696;556;7;1,01%;1,26%;1,91%;-0,90%
Romania;Estonia;1218;962;12;0,99%;1,25%;2,06%;-1,07%
Albania;Estonia;1160;739;8;0,69%;1,08%;1,56%;-0,87%
Switzerland;Estonia;1276;948;10;0,78%;1,06%;1,89%;-1,11%
Belgium;Estonia;1334;962;10;0,75%;1,04%;1,86%;-1,11%
Montenegro;Estonia;870;695;6;0,69%;0,86%;1,93%;-1,24%
SanMarino;Estonia;812;610;5;0,62%;0,82%;1,81%;-1,20%
Bulgaria;Estonia;870;557;2;0,23%;0,36%;1,55%;-1,32%
Armenia;Estonia;986;619;2;0,20%;0,32%;1,53%;-1,32%
Andorra;Estonia;348;129;0;0,00%;0,00%;0,93%;-0,93%
Luxembourg;Estonia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Estonia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Estonia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Estonia;174;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia&Montenegro;Estonia;174;0;0;0,00%;-1,00%;0,00%;0,00%
Estonia;Finland;1276;632;69;5,41%;10,92%;1,26%;4,15%
Sweden;Finland;1276;632;69;5,41%;10,92%;1,26%;4,15%
Iceland;Finland;1218;608;57;4,68%;9,38%;1,25%;3,43%
Australia;Finland;522;46;4;0,77%;8,70%;0,21%;0,56%
Norway;Finland;1218;608;39;3,20%;6,41%;1,25%;1,95%
Andorra;Finland;348;402;21;6,03%;5,22%;2,89%;3,15%
Denmark;Finland;1276;632;30;2,35%;4,75%;1,26%;1,09%
Poland;Finland;1044;577;22;2,11%;3,81%;1,35%;0,75%
UnitedKingdom;Finland;1276;632;22;1,72%;3,48%;1,26%;0,46%
Italy;Finland;754;188;6;0,80%;3,19%;0,60%;0,19%
Germany;Finland;1276;632;18;1,41%;2,85%;1,26%;0,15%
Switzerland;Finland;1276;632;18;1,41%;2,85%;1,26%;0,15%
SanMarino;Finland;812;223;6;0,74%;2,69%;0,66%;0,08%
Israel;Finland;1276;632;17;1,33%;2,69%;1,26%;0,07%
Lithuania;Finland;1218;614;16;1,31%;2,61%;1,26%;0,05%
Serbia&Montenegro;Finland;174;292;7;4,02%;2,40%;4,46%;-0,43%
Netherlands;Finland;1218;608;14;1,15%;2,30%;1,25%;-0,10%
Ireland;Finland;1218;608;13;1,07%;2,14%;1,25%;-0,18%
BosniaHerzegovina;Finland;696;483;10;1,44%;2,07%;1,76%;-0,33%
Hungary;Finland;986;298;6;0,61%;2,01%;0,73%;-0,12%
Greece;Finland;1218;614;12;0,99%;1,95%;1,26%;-0,27%
Czech;Finland;696;156;3;0,43%;1,92%;0,53%;-0,10%
Latvia;Finland;1276;632;12;0,94%;1,90%;1,26%;-0,32%
Macedonia;Finland;1276;632;12;0,94%;1,90%;1,26%;-0,32%
Croatia;Finland;1160;560;10;0,86%;1,79%;1,23%;-0,36%
Belgium;Finland;1276;632;11;0,86%;1,74%;1,26%;-0,40%
France;Finland;1276;632;11;0,86%;1,74%;1,26%;-0,40%
Malta;Finland;1276;632;10;0,78%;1,58%;1,26%;-0,48%
Spain;Finland;1276;632;10;0,78%;1,58%;1,26%;-0,48%
Bulgaria;Finland;870;518;8;0,92%;1,54%;1,44%;-0,52%
Austria;Finland;1044;283;4;0,38%;1,41%;0,70%;-0,31%
Turkey;Finland;638;501;7;1,10%;1,40%;2,10%;-1,00%
Belarus;Finland;1160;590;8;0,69%;1,36%;1,25%;-0,56%
Slovenia;Finland;1218;614;8;0,66%;1,30%;1,26%;-0,60%
Romania;Finland;1160;632;8;0,69%;1,27%;1,40%;-0,71%
Russia;Finland;1160;632;8;0,69%;1,27%;1,40%;-0,71%
Cyprus;Finland;1218;560;7;0,57%;1,25%;1,17%;-0,59%
Ukraine;Finland;986;590;7;0,71%;1,19%;1,47%;-0,76%
Portugal;Finland;986;577;6;0,61%;1,04%;1,44%;-0,83%
Moldova;Finland;1102;590;6;0,54%;1,02%;1,30%;-0,76%
Serbia;Finland;928;226;0;0,00%;0,00%;0,59%;-0,59%
Azerbaijan;Finland;928;245;0;0,00%;0,00%;0,64%;-0,64%
Montenegro;Finland;870;241;0;0,00%;0,00%;0,67%;-0,67%
Georgia;Finland;928;276;0;0,00%;0,00%;0,72%;-0,72%
Slovakia;Finland;232;79;0;0,00%;0,00%;0,82%;-0,82%
Albania;Finland;1160;590;0;0,00%;0,00%;1,25%;-1,25%
Armenia;Finland;986;590;0;0,00%;0,00%;1,46%;-1,46%
Monaco;Finland;174;292;0;0,00%;0,00%;4,46%;-4,46%
Luxembourg;Finland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Finland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Finland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;France;174;56;15;8,62%;26,79%;0,85%;7,77%
Andorra;France;348;229;26;7,47%;11,35%;1,65%;5,83%
Armenia;France;986;1032;73;7,40%;7,07%;2,55%;4,86%
Belgium;France;1334;1232;82;6,15%;6,66%;2,39%;3,76%
BosniaHerzegovina;France;812;936;54;6,65%;5,77%;3,10%;3,55%
Israel;France;1392;1374;64;4,60%;4,66%;2,60%;2,00%
Spain;France;1392;1374;64;4,60%;4,66%;2,60%;2,00%
Portugal;France;1102;994;42;3,81%;4,23%;2,31%;1,50%
Greece;France;1334;1369;53;3,97%;3,87%;2,66%;1,32%
Iceland;France;1334;1270;49;3,67%;3,86%;2,46%;1,21%
Australia;France;522;674;26;4,98%;3,86%;3,09%;1,89%
Ukraine;France;1044;1014;38;3,64%;3,75%;2,43%;1,21%
Albania;France;1160;1104;41;3,53%;3,71%;2,33%;1,20%
Finland;France;1276;1213;45;3,53%;3,71%;2,42%;1,11%
Lithuania;France;1276;1350;48;3,76%;3,56%;2,70%;1,07%
Russia;France;1276;1239;44;3,45%;3,55%;2,58%;0,87%
Cyprus;France;1276;1230;40;3,14%;3,25%;2,49%;0,65%
Italy;France;754;793;25;3,32%;3,15%;2,55%;0,77%
Switzerland;France;1276;1213;34;2,67%;2,80%;2,42%;0,24%
Croatia;France;1276;1368;37;2,90%;2,71%;2,82%;0,08%
Sweden;France;1392;1374;37;2,66%;2,69%;2,60%;0,06%
Latvia;France;1392;1374;31;2,23%;2,26%;2,60%;-0,37%
Denmark;France;1334;1355;29;2,17%;2,14%;2,63%;-0,46%
Estonia;France;1392;1374;29;2,08%;2,11%;2,60%;-0,51%
UnitedKingdom;France;1392;1374;29;2,08%;2,11%;2,60%;-0,51%
Netherlands;France;1334;1270;25;1,87%;1,97%;2,46%;-0,59%
Poland;France;1160;1230;24;2,07%;1,95%;2,71%;-0,64%
Georgia;France;928;941;18;1,94%;1,91%;2,45%;-0,51%
Ireland;France;1334;1270;23;1,72%;1,81%;2,46%;-0,74%
Bulgaria;France;870;953;17;1,95%;1,78%;2,65%;-0,69%
Slovenia;France;1334;1369;24;1,80%;1,75%;2,66%;-0,86%
Norway;France;1334;1270;22;1,65%;1,73%;2,46%;-0,81%
Malta;France;1392;1374;23;1,65%;1,67%;2,60%;-0,94%
Germany;France;1392;1374;22;1,58%;1,60%;2,60%;-1,02%
Romania;France;1218;975;15;1,23%;1,54%;2,09%;-0,85%
Austria;France;1102;991;15;1,36%;1,51%;2,35%;-0,99%
SanMarino;France;812;840;12;1,48%;1,43%;2,50%;-1,02%
Montenegro;France;870;884;12;1,38%;1,36%;2,45%;-1,08%
Moldova;France;1102;1064;13;1,18%;1,22%;2,35%;-1,17%
Macedonia;France;1276;1213;13;1,02%;1,07%;2,42%;-1,40%
Belarus;France;1160;1104;11;0,95%;1,00%;2,33%;-1,38%
Serbia;France;928;1046;10;1,08%;0,96%;2,71%;-1,63%
Azerbaijan;France;928;1029;9;0,97%;0,87%;2,68%;-1,71%
Czech;France;696;847;7;1,01%;0,83%;2,90%;-1,90%
Hungary;France;986;977;3;0,30%;0,31%;2,40%;-2,09%
Turkey;France;754;684;1;0,13%;0,15%;2,56%;-2,43%
Serbia&Montenegro;France;174;56;0;0,00%;0,00%;0,85%;-0,85%
Slovakia;France;232;292;0;0,00%;0,00%;3,03%;-3,03%
Luxembourg;France;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;France;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;France;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Armenia;Georgia;870;631;75;8,62%;11,89%;1,76%;6,86%
Lithuania;Georgia;928;631;69;7,44%;10,94%;1,65%;5,79%
Ukraine;Georgia;754;580;51;6,76%;8,79%;1,86%;4,91%
Azerbaijan;Georgia;870;534;43;4,94%;8,05%;1,49%;3,46%
Russia;Georgia;812;631;45;5,54%;7,13%;1,89%;3,66%
Belarus;Georgia;928;631;34;3,66%;5,39%;1,65%;2,02%
Turkey;Georgia;290;426;22;7,59%;5,16%;3,51%;4,07%
Greece;Georgia;928;631;32;3,45%;5,07%;1,65%;1,80%
Moldova;Georgia;928;631;27;2,91%;4,28%;1,65%;1,26%
Poland;Georgia;812;581;24;2,96%;4,13%;1,73%;1,23%
Estonia;Georgia;928;631;22;2,37%;3,49%;1,65%;0,73%
SanMarino;Georgia;812;398;13;1,60%;3,27%;1,18%;0,42%
Belgium;Georgia;928;631;18;1,94%;2,85%;1,65%;0,29%
Czech;Georgia;638;335;9;1,41%;2,69%;1,25%;0,16%
Latvia;Georgia;928;631;16;1,72%;2,54%;1,65%;0,08%
Israel;Georgia;928;631;15;1,62%;2,38%;1,65%;-0,03%
Cyprus;Georgia;870;631;13;1,49%;2,06%;1,74%;-0,25%
Hungary;Georgia;870;495;10;1,15%;2,02%;1,37%;-0,22%
Italy;Georgia;754;315;6;0,80%;1,91%;1,01%;-0,22%
UnitedKingdom;Georgia;928;631;12;1,29%;1,90%;1,65%;-0,35%
Bulgaria;Georgia;696;580;10;1,44%;1,72%;1,99%;-0,56%
Croatia;Georgia;812;580;9;1,11%;1,55%;1,71%;-0,60%
Germany;Georgia;928;631;8;0,86%;1,27%;1,65%;-0,78%
Finland;Georgia;928;631;7;0,75%;1,11%;1,65%;-0,89%
Ireland;Georgia;928;631;6;0,65%;0,95%;1,65%;-1,00%
Sweden;Georgia;928;631;6;0,65%;0,95%;1,65%;-1,00%
BosniaHerzegovina;Georgia;406;530;5;1,23%;0,94%;3,12%;-1,89%
Macedonia;Georgia;928;631;5;0,54%;0,79%;1,65%;-1,11%
Malta;Georgia;928;631;5;0,54%;0,79%;1,65%;-1,11%
Australia;Georgia;522;155;1;0,19%;0,65%;0,71%;-0,52%
Montenegro;Georgia;812;385;2;0,25%;0,52%;1,15%;-0,90%
Slovenia;Georgia;928;631;3;0,32%;0,48%;1,65%;-1,32%
Iceland;Georgia;928;631;2;0,22%;0,32%;1,65%;-1,43%
Netherlands;Georgia;928;631;2;0,22%;0,32%;1,65%;-1,43%
Portugal;Georgia;754;477;1;0,13%;0,21%;1,53%;-1,40%
Norway;Georgia;928;631;1;0,11%;0,16%;1,65%;-1,54%
Spain;Georgia;928;631;1;0,11%;0,16%;1,65%;-1,54%
Switzerland;Georgia;928;631;1;0,11%;0,16%;1,65%;-1,54%
Austria;Georgia;812;412;0;0,00%;0,00%;1,23%;-1,23%
Romania;Georgia;812;527;0;0,00%;0,00%;1,58%;-1,58%
Albania;Georgia;928;631;0;0,00%;0,00%;1,65%;-1,65%
Denmark;Georgia;928;631;0;0,00%;0,00%;1,65%;-1,65%
France;Georgia;928;631;0;0,00%;0,00%;1,65%;-1,65%
Serbia;Georgia;870;631;0;0,00%;0,00%;1,74%;-1,74%
Slovakia;Georgia;174;246;0;0,00%;0,00%;3,42%;-3,42%
Andorra;Georgia;116;180;0;0,00%;0,00%;3,65%;-3,65%
Luxembourg;Georgia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Georgia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Georgia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Georgia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Georgia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Switzerland;Germany;1276;1245;108;8,46%;8,68%;2,48%;5,98%
Austria;Germany;1102;967;69;6,26%;7,14%;2,29%;3,97%
Monaco;Germany;174;133;9;5,17%;6,77%;2,03%;3,14%
Denmark;Germany;1334;1311;83;6,22%;6,33%;2,55%;3,67%
Spain;Germany;1392;1364;84;6,03%;6,16%;2,58%;3,46%
Ireland;Germany;1334;1347;62;4,65%;4,60%;2,61%;2,04%
Netherlands;Germany;1334;1347;62;4,65%;4,60%;2,61%;2,04%
Albania;Germany;1160;1132;49;4,22%;4,33%;2,39%;1,83%
Italy;Germany;754;655;27;3,58%;4,12%;2,10%;1,48%
Poland;Germany;1160;1123;45;3,88%;4,01%;2,47%;1,41%
Australia;Germany;522;381;15;2,87%;3,94%;1,75%;1,13%
Norway;Germany;1334;1347;52;3,90%;3,86%;2,61%;1,29%
France;Germany;1392;1364;47;3,38%;3,45%;2,58%;0,80%
Latvia;Germany;1392;1364;44;3,16%;3,23%;2,58%;0,59%
Portugal;Germany;1102;1222;38;3,45%;3,11%;2,84%;0,61%
UnitedKingdom;Germany;1392;1364;41;2,95%;3,01%;2,58%;0,37%
Iceland;Germany;1334;1347;39;2,92%;2,90%;2,61%;0,31%
Estonia;Germany;1392;1364;37;2,66%;2,71%;2,58%;0,08%
Turkey;Germany;754;926;25;3,32%;2,70%;3,46%;-0,15%
Sweden;Germany;1392;1364;35;2,51%;2,57%;2,58%;-0,06%
Slovakia;Germany;232;498;12;5,17%;2,41%;5,17%;0,00%
Belgium;Germany;1334;1298;31;2,32%;2,39%;2,52%;-0,19%
Lithuania;Germany;1276;1215;28;2,19%;2,31%;2,43%;-0,23%
Russia;Germany;1276;1358;31;2,43%;2,28%;2,82%;-0,40%
Slovenia;Germany;1334;1268;28;2,10%;2,21%;2,46%;-0,36%
Andorra;Germany;348;231;5;1,44%;2,17%;1,66%;-0,22%
Bulgaria;Germany;870;976;21;2,41%;2,15%;2,71%;-0,30%
SanMarino;Germany;812;669;14;1,72%;2,09%;1,99%;-0,27%
BosniaHerzegovina;Germany;812;841;16;1,97%;1,90%;2,78%;-0,81%
Serbia;Germany;928;960;18;1,94%;1,88%;2,49%;-0,55%
Malta;Germany;1392;1364;22;1,58%;1,61%;2,58%;-1,00%
Georgia;Germany;928;964;15;1,62%;1,56%;2,51%;-0,90%
Romania;Germany;1218;1287;19;1,56%;1,48%;2,75%;-1,19%
Hungary;Germany;986;757;11;1,12%;1,45%;1,86%;-0,74%
Finland;Germany;1276;1245;17;1,33%;1,37%;2,48%;-1,15%
Croatia;Germany;1276;1325;17;1,33%;1,28%;2,73%;-1,40%
Armenia;Germany;986;925;11;1,12%;1,19%;2,28%;-1,17%
Moldova;Germany;1102;1039;10;0,91%;0,96%;2,30%;-1,39%
Israel;Germany;1392;1364;13;0,93%;0,95%;2,58%;-1,64%
Macedonia;Germany;1276;1245;11;0,86%;0,88%;2,48%;-1,62%
Ukraine;Germany;1044;1161;10;0,96%;0,86%;2,78%;-1,82%
Greece;Germany;1334;1268;9;0,67%;0,71%;2,46%;-1,78%
Belarus;Germany;1160;1132;8;0,69%;0,71%;2,39%;-1,70%
Azerbaijan;Germany;928;950;6;0,65%;0,63%;2,48%;-1,83%
Czech;Germany;696;479;3;0,43%;0,63%;1,64%;-1,21%
Cyprus;Germany;1276;1259;7;0,55%;0,56%;2,55%;-2,00%
Montenegro;Germany;870;646;0;0,00%;0,00%;1,79%;-1,79%
Serbia&Montenegro;Germany;174;133;0;0,00%;0,00%;2,03%;-2,03%
Luxembourg;Germany;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Germany;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Germany;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Cyprus;Greece;1218;1789;200;16,42%;11,18%;3,72%;12,70%
Albania;Greece;1160;1772;129;11,12%;7,28%;3,74%;7,38%
Bulgaria;Greece;870;1388;92;10,57%;6,63%;3,85%;6,72%
SanMarino;Greece;812;763;50;6,16%;6,55%;2,27%;3,89%
Armenia;Greece;986;1226;75;7,61%;6,12%;3,02%;4,58%
Romania;Greece;1160;1824;101;8,71%;5,54%;4,02%;4,69%
Germany;Greece;1334;1971;93;6,97%;4,72%;3,82%;3,15%
UnitedKingdom;Greece;1334;1971;87;6,52%;4,41%;3,82%;2,70%
Belgium;Greece;1276;1824;78;6,11%;4,28%;3,63%;2,48%
Serbia&Montenegro;Greece;174;610;25;14,37%;4,10%;9,31%;5,06%
Azerbaijan;Greece;928;1023;38;4,10%;3,72%;2,67%;1,43%
Russia;Greece;1218;1894;67;5,50%;3,54%;4,06%;1,44%
Turkey;Greece;696;1610;52;7,47%;3,23%;6,35%;1,12%
Hungary;Greece;986;1252;40;4,06%;3,20%;3,07%;0,99%
Serbia;Greece;928;1127;35;3,77%;3,11%;2,92%;0,85%
Montenegro;Greece;870;902;28;3,22%;3,10%;2,50%;0,71%
Malta;Greece;1334;1971;58;4,35%;2,94%;3,82%;0,53%
BosniaHerzegovina;Greece;812;1610;42;5,17%;2,61%;5,33%;-0,16%
Netherlands;Greece;1276;1944;43;3,37%;2,21%;3,88%;-0,51%
Italy;Greece;754;545;12;1,59%;2,20%;1,75%;-0,16%
Switzerland;Greece;1218;1799;37;3,04%;2,06%;3,69%;-0,66%
Spain;Greece;1334;1971;40;3,00%;2,03%;3,82%;-0,82%
Israel;Greece;1334;1971;39;2,92%;1,98%;3,82%;-0,90%
Sweden;Greece;1334;1971;39;2,92%;1,98%;3,82%;-0,90%
Andorra;Greece;348;1087;21;6,03%;1,93%;7,81%;-1,78%
Moldova;Greece;1102;1520;29;2,63%;1,91%;3,36%;-0,73%
Macedonia;Greece;1218;1799;34;2,79%;1,89%;3,69%;-0,90%
Belarus;Greece;1160;1772;33;2,85%;1,86%;3,74%;-0,90%
Croatia;Greece;1218;1913;35;2,87%;1,83%;4,06%;-1,19%
Georgia;Greece;928;1042;19;2,05%;1,82%;2,72%;-0,67%
Monaco;Greece;174;610;10;5,75%;1,64%;9,31%;-3,56%
France;Greece;1334;1971;32;2,40%;1,62%;3,82%;-1,42%
Iceland;Greece;1276;1944;29;2,27%;1,49%;3,88%;-1,60%
Slovenia;Greece;1334;1971;26;1,95%;1,32%;3,82%;-1,87%
Ukraine;Greece;1044;1700;21;2,01%;1,24%;4,07%;-2,06%
Czech;Greece;696;651;8;1,15%;1,23%;2,23%;-1,08%
Portugal;Greece;1102;1792;21;1,91%;1,17%;4,16%;-2,26%
Poland;Greece;1160;1728;20;1,72%;1,16%;3,80%;-2,08%
Slovakia;Greece;232;444;5;2,16%;1,13%;4,61%;-2,46%
Austria;Greece;1044;1218;13;1,25%;1,07%;2,98%;-1,74%
Denmark;Greece;1276;1946;20;1,57%;1,03%;3,89%;-2,32%
Finland;Greece;1218;1799;18;1,48%;1,00%;3,69%;-2,22%
Norway;Greece;1276;1944;19;1,49%;0,98%;3,88%;-2,39%
Lithuania;Greece;1276;1946;19;1,49%;0,98%;3,89%;-2,40%
Ireland;Greece;1276;1944;17;1,33%;0,87%;3,88%;-2,54%
Estonia;Greece;1334;1971;12;0,90%;0,61%;3,82%;-2,92%
Latvia;Greece;1334;1971;10;0,75%;0,51%;3,82%;-3,07%
Australia;Greece;522;174;0;0,00%;0,00%;0,80%;-0,80%
Luxembourg;Greece;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Greece;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Greece;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Hungary;174;72;8;4,60%;11,11%;0,98%;3,62%
Serbia;Hungary;870;704;68;7,82%;9,66%;1,94%;5,88%
Romania;Hungary;870;836;64;7,36%;7,66%;2,33%;5,03%
Serbia&Montenegro;Hungary;58;97;6;10,34%;6,19%;4,29%;6,05%
Croatia;Hungary;870;782;46;5,29%;5,88%;2,15%;3,13%
Andorra;Hungary;232;225;12;5,17%;5,33%;2,34%;2,84%
Finland;Hungary;986;944;49;4,97%;5,19%;2,32%;2,66%
Azerbaijan;Hungary;870;719;36;4,14%;5,01%;1,99%;2,15%
Montenegro;Hungary;870;794;32;3,68%;4,03%;2,20%;1,47%
Estonia;Hungary;986;944;38;3,85%;4,03%;2,32%;1,54%
Poland;Hungary;870;841;33;3,79%;3,92%;2,33%;1,46%
SanMarino;Hungary;812;719;24;2,96%;3,34%;2,14%;0,82%
Iceland;Hungary;986;944;31;3,14%;3,28%;2,32%;0,83%
Czech;Hungary;696;548;16;2,30%;2,92%;1,88%;0,42%
Sweden;Hungary;986;944;27;2,74%;2,86%;2,32%;0,42%
Bulgaria;Hungary;754;782;22;2,92%;2,81%;2,48%;0,44%
Germany;Hungary;986;944;26;2,64%;2,75%;2,32%;0,32%
Ukraine;Hungary;812;925;24;2,96%;2,60%;2,75%;0,21%
Albania;Hungary;986;944;24;2,43%;2,54%;2,32%;0,12%
Austria;Hungary;870;944;24;2,76%;2,54%;2,63%;0,13%
Netherlands;Hungary;986;944;23;2,33%;2,44%;2,32%;0,02%
Spain;Hungary;986;944;23;2,33%;2,44%;2,32%;0,02%
Cyprus;Hungary;928;801;19;2,05%;2,37%;2,07%;-0,03%
Turkey;Hungary;348;297;7;2,01%;2,36%;2,04%;-0,03%
Switzerland;Hungary;986;944;22;2,23%;2,33%;2,32%;-0,08%
Greece;Hungary;986;944;21;2,13%;2,23%;2,32%;-0,19%
Belarus;Hungary;986;944;20;2,03%;2,12%;2,32%;-0,29%
Israel;Hungary;986;944;19;1,93%;2,01%;2,32%;-0,39%
Slovenia;Hungary;986;944;16;1,62%;1,70%;2,32%;-0,69%
Portugal;Hungary;812;752;12;1,48%;1,60%;2,24%;-0,76%
Belgium;Hungary;986;944;15;1,52%;1,59%;2,32%;-0,79%
Lithuania;Hungary;986;944;15;1,52%;1,59%;2,32%;-0,79%
Denmark;Hungary;986;944;14;1,42%;1,48%;2,32%;-0,90%
Macedonia;Hungary;986;944;14;1,42%;1,48%;2,32%;-0,90%
Norway;Hungary;986;944;14;1,42%;1,48%;2,32%;-0,90%
Russia;Hungary;870;744;10;1,15%;1,34%;2,07%;-0,92%
Italy;Hungary;754;719;9;1,19%;1,25%;2,31%;-1,11%
Latvia;Hungary;986;944;11;1,12%;1,17%;2,32%;-1,20%
Malta;Hungary;986;944;11;1,12%;1,17%;2,32%;-1,20%
France;Hungary;986;944;8;0,81%;0,85%;2,32%;-1,50%
Ireland;Hungary;986;944;8;0,81%;0,85%;2,32%;-1,50%
Moldova;Hungary;986;944;8;0,81%;0,85%;2,32%;-1,50%
Georgia;Hungary;870;847;7;0,80%;0,83%;2,35%;-1,54%
BosniaHerzegovina;Hungary;464;405;2;0,43%;0,49%;2,08%;-1,65%
Armenia;Hungary;870;828;3;0,34%;0,36%;2,30%;-1,95%
UnitedKingdom;Hungary;986;944;3;0,30%;0,32%;2,32%;-2,01%
Australia;Hungary;522;420;0;0,00%;0,00%;1,93%;-1,93%
Monaco;Hungary;58;97;0;0,00%;0,00%;4,29%;-4,29%
Luxembourg;Hungary;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Hungary;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Hungary;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Iceland;174;16;5;2,87%;31,25%;0,24%;2,63%
Norway;Iceland;1334;912;84;6,30%;9,21%;1,77%;4,53%
Australia;Iceland;522;232;18;3,45%;7,76%;1,06%;2,38%
Denmark;Iceland;1276;831;63;4,94%;7,58%;1,66%;3,28%
Finland;Iceland;1218;828;56;4,60%;6,76%;1,70%;2,90%
Hungary;Iceland;986;726;48;4,87%;6,61%;1,78%;3,09%
Sweden;Iceland;1334;912;52;3,90%;5,70%;1,77%;2,13%
Italy;Iceland;754;444;19;2,52%;4,28%;1,43%;1,09%
Malta;Iceland;1334;912;37;2,77%;4,06%;1,77%;1,01%
Estonia;Iceland;1334;912;36;2,70%;3,95%;1,77%;0,93%
UnitedKingdom;Iceland;1334;912;32;2,40%;3,51%;1,77%;0,63%
SanMarino;Iceland;812;508;16;1,97%;3,15%;1,51%;0,46%
Germany;Iceland;1334;912;27;2,02%;2,96%;1,77%;0,26%
Latvia;Iceland;1334;912;27;2,02%;2,96%;1,77%;0,26%
Netherlands;Iceland;1334;912;26;1,95%;2,85%;1,77%;0,18%
Slovenia;Iceland;1276;867;24;1,88%;2,77%;1,73%;0,15%
Ireland;Iceland;1334;912;25;1,87%;2,74%;1,77%;0,11%
Slovakia;Iceland;232;366;10;4,31%;2,73%;3,80%;0,51%
Andorra;Iceland;348;298;8;2,30%;2,69%;2,14%;0,16%
Portugal;Iceland;1102;820;22;2,00%;2,68%;1,91%;0,09%
Belgium;Iceland;1276;909;24;1,88%;2,64%;1,81%;0,07%
Lithuania;Iceland;1218;786;20;1,64%;2,55%;1,62%;0,03%
Switzerland;Iceland;1218;828;20;1,64%;2,42%;1,70%;-0,06%
Czech;Iceland;696;514;12;1,72%;2,34%;1,76%;-0,04%
Poland;Iceland;1160;774;17;1,47%;2,20%;1,70%;-0,24%
Israel;Iceland;1334;912;19;1,42%;2,08%;1,77%;-0,35%
Turkey;Iceland;696;575;10;1,44%;1,74%;2,27%;-0,83%
Romania;Iceland;1160;909;15;1,29%;1,65%;2,00%;-0,71%
