ID;Year;Which contest;Edition;Jury or televoting;From;To;Points;Is duplicate
25314;2010;f;2010f;J;France;Belgium;7;0
25315;2010;f;2010f;J;France;Bosnia and Herzegovina;5;0
25316;2010;f;2010f;J;France;Cyprus;0;0
25317;2010;f;2010f;J;France;Denmark;0;0
25318;2010;f;2010f;J;France;France;0;1
25319;2010;f;2010f;J;France;Georgia;0;0
25320;2010;f;2010f;J;France;Germany;3;0
25321;2010;f;2010f;J;France;Greece;4;0
25322;2010;f;2010f;J;France;Iceland;0;0
25323;2010;f;2010f;J;France;Ireland;0;0
25324;2010;f;2010f;J;France;Israel;1;0
25325;2010;f;2010f;J;France;Moldova;0;0
25326;2010;f;2010f;J;France;Norway;0;0
25327;2010;f;2010f;J;France;Portugal;8;0
25328;2010;f;2010f;J;France;Romania;0;0
25329;2010;f;2010f;J;France;Russia;0;0
25330;2010;f;2010f;J;France;Serbia;10;0
25331;2010;f;2010f;J;France;Spain;0;0
25332;2010;f;2010f;J;France;Turkey;12;0
25333;2010;f;2010f;J;France;Ukraine;2;0
25334;2010;f;2010f;J;France;United Kingdom;0;0
25335;2010;f;2010f;J;Georgia;Albania;0;0
25336;2010;f;2010f;J;Georgia;Armenia;10;0
25337;2010;f;2010f;J;Georgia;Azerbaijan;8;0
25338;2010;f;2010f;J;Georgia;Belarus;12;0
25339;2010;f;2010f;J;Georgia;Belgium;0;0
25340;2010;f;2010f;J;Georgia;Bosnia and Herzegovina;0;0
25341;2010;f;2010f;J;Georgia;Cyprus;0;0
25342;2010;f;2010f;J;Georgia;Denmark;0;0
25343;2010;f;2010f;J;Georgia;France;0;0
25344;2010;f;2010f;J;Georgia;Georgia;0;1
25345;2010;f;2010f;J;Georgia;Germany;0;0
25346;2010;f;2010f;J;Georgia;Greece;0;0
25347;2010;f;2010f;J;Georgia;Iceland;0;0
25348;2010;f;2010f;J;Georgia;Ireland;0;0
25349;2010;f;2010f;J;Georgia;Israel;4;0
25350;2010;f;2010f;J;Georgia;Moldova;1;0
25351;2010;f;2010f;J;Georgia;Norway;6;0
25352;2010;f;2010f;J;Georgia;Portugal;0;0
25353;2010;f;2010f;J;Georgia;Romania;0;0
25354;2010;f;2010f;J;Georgia;Russia;0;0
25355;2010;f;2010f;J;Georgia;Serbia;0;0
25356;2010;f;2010f;J;Georgia;Spain;2;0
25357;2010;f;2010f;J;Georgia;Turkey;5;0
25358;2010;f;2010f;J;Georgia;Ukraine;7;0
25359;2010;f;2010f;J;Georgia;United Kingdom;3;0
25360;2010;f;2010f;J;Germany;Albania;1;0
25361;2010;f;2010f;J;Germany;Armenia;7;0
25362;2010;f;2010f;J;Germany;Azerbaijan;0;0
25363;2010;f;2010f;J;Germany;Belarus;0;0
25364;2010;f;2010f;J;Germany;Belgium;12;0
25365;2010;f;2010f;J;Germany;Bosnia and Herzegovina;0;0
25366;2010;f;2010f;J;Germany;Cyprus;0;0
25367;2010;f;2010f;J;Germany;Denmark;0;0
25368;2010;f;2010f;J;Germany;France;3;0
25369;2010;f;2010f;J;Germany;Georgia;0;0
25370;2010;f;2010f;J;Germany;Germany;0;1
25371;2010;f;2010f;J;Germany;Greece;8;0
25372;2010;f;2010f;J;Germany;Iceland;4;0
25373;2010;f;2010f;J;Germany;Ireland;2;0
25374;2010;f;2010f;J;Germany;Israel;0;0
25375;2010;f;2010f;J;Germany;Moldova;0;0
25376;2010;f;2010f;J;Germany;Norway;0;0
25377;2010;f;2010f;J;Germany;Portugal;6;0
25378;2010;f;2010f;J;Germany;Romania;0;0
25379;2010;f;2010f;J;Germany;Russia;0;0
25380;2010;f;2010f;J;Germany;Serbia;5;0
25381;2010;f;2010f;J;Germany;Spain;0;0
25382;2010;f;2010f;J;Germany;Turkey;10;0
25383;2010;f;2010f;J;Germany;Ukraine;0;0
25384;2010;f;2010f;J;Germany;United Kingdom;0;0
25385;2010;f;2010f;J;Greece;Albania;10;0
25386;2010;f;2010f;J;Greece;Armenia;7;0
25387;2010;f;2010f;J;Greece;Azerbaijan;1;0
25388;2010;f;2010f;J;Greece;Belarus;0;0
25389;2010;f;2010f;J;Greece;Belgium;6;0
25390;2010;f;2010f;J;Greece;Bosnia and Herzegovina;0;0
25391;2010;f;2010f;J;Greece;Cyprus;12;0
25392;2010;f;2010f;J;Greece;Denmark;0;0
25393;2010;f;2010f;J;Greece;France;8;0
25394;2010;f;2010f;J;Greece;Georgia;5;0
25395;2010;f;2010f;J;Greece;Germany;2;0
25396;2010;f;2010f;J;Greece;Greece;0;1
25397;2010;f;2010f;J;Greece;Iceland;3;0
25398;2010;f;2010f;J;Greece;Ireland;0;0
25399;2010;f;2010f;J;Greece;Israel;0;0
25400;2010;f;2010f;J;Greece;Moldova;0;0
25401;2010;f;2010f;J;Greece;Norway;0;0
25402;2010;f;2010f;J;Greece;Portugal;0;0
25403;2010;f;2010f;J;Greece;Romania;4;0
25404;2010;f;2010f;J;Greece;Russia;0;0
25405;2010;f;2010f;J;Greece;Serbia;0;0
25406;2010;f;2010f;J;Greece;Spain;0;0
25407;2010;f;2010f;J;Greece;Turkey;0;0
25408;2010;f;2010f;J;Greece;Ukraine;0;0
25409;2010;f;2010f;J;Greece;United Kingdom;0;0
25410;2010;f;2010f;J;Iceland;Albania;7;0
25411;2010;f;2010f;J;Iceland;Armenia;0;0
25412;2010;f;2010f;J;Iceland;Azerbaijan;4;0
25413;2010;f;2010f;J;Iceland;Belarus;0;0
25414;2010;f;2010f;J;Iceland;Belgium;10;0
25415;2010;f;2010f;J;Iceland;Bosnia and Herzegovina;0;0
25416;2010;f;2010f;J;Iceland;Cyprus;0;0
25417;2010;f;2010f;J;Iceland;Denmark;12;0
25418;2010;f;2010f;J;Iceland;France;6;0
25419;2010;f;2010f;J;Iceland;Georgia;2;0
25420;2010;f;2010f;J;Iceland;Germany;3;0
25421;2010;f;2010f;J;Iceland;Greece;8;0
25422;2010;f;2010f;J;Iceland;Iceland;0;1
25423;2010;f;2010f;J;Iceland;Ireland;0;0
25424;2010;f;2010f;J;Iceland;Israel;0;0
25425;2010;f;2010f;J;Iceland;Moldova;0;0
25426;2010;f;2010f;J;Iceland;Norway;0;0
25427;2010;f;2010f;J;Iceland;Portugal;1;0
25428;2010;f;2010f;J;Iceland;Romania;5;0
25429;2010;f;2010f;J;Iceland;Russia;0;0
25430;2010;f;2010f;J;Iceland;Serbia;0;0
25431;2010;f;2010f;J;Iceland;Spain;0;0
25432;2010;f;2010f;J;Iceland;Turkey;0;0
25433;2010;f;2010f;J;Iceland;Ukraine;0;0
25434;2010;f;2010f;J;Iceland;United Kingdom;0;0
25435;2010;f;2010f;J;Ireland;Albania;0;0
25436;2010;f;2010f;J;Ireland;Armenia;0;0
25437;2010;f;2010f;J;Ireland;Azerbaijan;3;0
25438;2010;f;2010f;J;Ireland;Belarus;0;0
25439;2010;f;2010f;J;Ireland;Belgium;10;0
25440;2010;f;2010f;J;Ireland;Bosnia and Herzegovina;0;0
25441;2010;f;2010f;J;Ireland;Cyprus;0;0
25442;2010;f;2010f;J;Ireland;Denmark;12;0
25443;2010;f;2010f;J;Ireland;France;6;0
25444;2010;f;2010f;J;Ireland;Georgia;5;0
25445;2010;f;2010f;J;Ireland;Germany;8;0
25446;2010;f;2010f;J;Ireland;Greece;0;0
25447;2010;f;2010f;J;Ireland;Iceland;0;0
25448;2010;f;2010f;J;Ireland;Ireland;0;1
25449;2010;f;2010f;J;Ireland;Israel;0;0
25450;2010;f;2010f;J;Ireland;Moldova;0;0
25451;2010;f;2010f;J;Ireland;Norway;2;0
25452;2010;f;2010f;J;Ireland;Portugal;0;0
25453;2010;f;2010f;J;Ireland;Romania;7;0
25454;2010;f;2010f;J;Ireland;Russia;0;0
25455;2010;f;2010f;J;Ireland;Serbia;0;0
25456;2010;f;2010f;J;Ireland;Spain;0;0
25457;2010;f;2010f;J;Ireland;Turkey;1;0
25458;2010;f;2010f;J;Ireland;Ukraine;0;0
25459;2010;f;2010f;J;Ireland;United Kingdom;4;0
25460;2010;f;2010f;J;Israel;Albania;0;0
25461;2010;f;2010f;J;Israel;Armenia;12;0
25462;2010;f;2010f;J;Israel;Azerbaijan;7;0
25463;2010;f;2010f;J;Israel;Belarus;0;0
25464;2010;f;2010f;J;Israel;Belgium;0;0
25465;2010;f;2010f;J;Israel;Bosnia and Herzegovina;0;0
25466;2010;f;2010f;J;Israel;Cyprus;0;0
25467;2010;f;2010f;J;Israel;Denmark;4;0
25468;2010;f;2010f;J;Israel;France;3;0
25469;2010;f;2010f;J;Israel;Georgia;5;0
25470;2010;f;2010f;J;Israel;Germany;0;0
25471;2010;f;2010f;J;Israel;Greece;0;0
25472;2010;f;2010f;J;Israel;Iceland;0;0
25473;2010;f;2010f;J;Israel;Ireland;6;0
25474;2010;f;2010f;J;Israel;Israel;0;1
25475;2010;f;2010f;J;Israel;Moldova;0;0
25476;2010;f;2010f;J;Israel;Norway;0;0
25477;2010;f;2010f;J;Israel;Portugal;0;0
25478;2010;f;2010f;J;Israel;Romania;8;0
25479;2010;f;2010f;J;Israel;Russia;10;0
25480;2010;f;2010f;J;Israel;Serbia;0;0
25481;2010;f;2010f;J;Israel;Spain;1;0
25482;2010;f;2010f;J;Israel;Turkey;0;0
25483;2010;f;2010f;J;Israel;Ukraine;2;0
25484;2010;f;2010f;J;Israel;United Kingdom;0;0
25485;2010;f;2010f;J;Latvia;Albania;0;0
25486;2010;f;2010f;J;Latvia;Armenia;1;0
25487;2010;f;2010f;J;Latvia;Azerbaijan;2;0
25488;2010;f;2010f;J;Latvia;Belarus;0;0
25489;2010;f;2010f;J;Latvia;Belgium;4;0
25490;2010;f;2010f;J;Latvia;Bosnia and Herzegovina;0;0
25491;2010;f;2010f;J;Latvia;Cyprus;0;0
25492;2010;f;2010f;J;Latvia;Denmark;10;0
25493;2010;f;2010f;J;Latvia;France;0;0
25494;2010;f;2010f;J;Latvia;Georgia;0;0
25495;2010;f;2010f;J;Latvia;Germany;12;0
25496;2010;f;2010f;J;Latvia;Greece;0;0
25497;2010;f;2010f;J;Latvia;Iceland;0;0
25498;2010;f;2010f;J;Latvia;Ireland;0;0
25499;2010;f;2010f;J;Latvia;Israel;0;0
25500;2010;f;2010f;J;Latvia;Moldova;0;0
25501;2010;f;2010f;J;Latvia;Norway;0;0
25502;2010;f;2010f;J;Latvia;Portugal;6;0
25503;2010;f;2010f;J;Latvia;Romania;3;0
25504;2010;f;2010f;J;Latvia;Russia;8;0
25505;2010;f;2010f;J;Latvia;Serbia;0;0
25506;2010;f;2010f;J;Latvia;Spain;5;0
25507;2010;f;2010f;J;Latvia;Turkey;0;0
25508;2010;f;2010f;J;Latvia;Ukraine;7;0
25509;2010;f;2010f;J;Latvia;United Kingdom;0;0
25510;2010;f;2010f;J;Lithuania;Albania;0;0
25511;2010;f;2010f;J;Lithuania;Armenia;0;0
25512;2010;f;2010f;J;Lithuania;Azerbaijan;0;0
25513;2010;f;2010f;J;Lithuania;Belarus;0;0
25514;2010;f;2010f;J;Lithuania;Belgium;7;0
25515;2010;f;2010f;J;Lithuania;Bosnia and Herzegovina;0;0
25516;2010;f;2010f;J;Lithuania;Cyprus;1;0
25517;2010;f;2010f;J;Lithuania;Denmark;3;0
25518;2010;f;2010f;J;Lithuania;France;0;0
25519;2010;f;2010f;J;Lithuania;Georgia;12;0
25520;2010;f;2010f;J;Lithuania;Germany;10;0
25521;2010;f;2010f;J;Lithuania;Greece;0;0
25522;2010;f;2010f;J;Lithuania;Iceland;0;0
25523;2010;f;2010f;J;Lithuania;Ireland;0;0
25524;2010;f;2010f;J;Lithuania;Israel;0;0
25525;2010;f;2010f;J;Lithuania;Moldova;0;0
25526;2010;f;2010f;J;Lithuania;Norway;0;0
25527;2010;f;2010f;J;Lithuania;Portugal;0;0
25528;2010;f;2010f;J;Lithuania;Romania;2;0
25529;2010;f;2010f;J;Lithuania;Russia;5;0
25530;2010;f;2010f;J;Lithuania;Serbia;0;0
25531;2010;f;2010f;J;Lithuania;Spain;8;0
25532;2010;f;2010f;J;Lithuania;Turkey;4;0
25533;2010;f;2010f;J;Lithuania;Ukraine;6;0
25534;2010;f;2010f;J;Lithuania;United Kingdom;0;0
25535;2010;f;2010f;J;Malta;Albania;0;0
25536;2010;f;2010f;J;Malta;Armenia;0;0
25537;2010;f;2010f;J;Malta;Azerbaijan;12;0
25538;2010;f;2010f;J;Malta;Belarus;0;0
25539;2010;f;2010f;J;Malta;Belgium;10;0
25540;2010;f;2010f;J;Malta;Bosnia and Herzegovina;0;0
25541;2010;f;2010f;J;Malta;Cyprus;0;0
25542;2010;f;2010f;J;Malta;Denmark;8;0
25543;2010;f;2010f;J;Malta;France;2;0
25544;2010;f;2010f;J;Malta;Georgia;0;0
25545;2010;f;2010f;J;Malta;Germany;4;0
25546;2010;f;2010f;J;Malta;Greece;7;0
25547;2010;f;2010f;J;Malta;Iceland;6;0
25548;2010;f;2010f;J;Malta;Ireland;0;0
25549;2010;f;2010f;J;Malta;Israel;0;0
25550;2010;f;2010f;J;Malta;Moldova;0;0
25551;2010;f;2010f;J;Malta;Norway;3;0
25552;2010;f;2010f;J;Malta;Portugal;1;0
25553;2010;f;2010f;J;Malta;Romania;5;0
25554;2010;f;2010f;J;Malta;Russia;0;0
25555;2010;f;2010f;J;Malta;Serbia;0;0
25556;2010;f;2010f;J;Malta;Spain;0;0
25557;2010;f;2010f;J;Malta;Turkey;0;0
25558;2010;f;2010f;J;Malta;Ukraine;0;0
25559;2010;f;2010f;J;Malta;United Kingdom;0;0
25560;2010;f;2010f;J;Moldova;Albania;0;0
25561;2010;f;2010f;J;Moldova;Armenia;6;0
25562;2010;f;2010f;J;Moldova;Azerbaijan;7;0
25563;2010;f;2010f;J;Moldova;Belarus;3;0
25564;2010;f;2010f;J;Moldova;Belgium;0;0
25565;2010;f;2010f;J;Moldova;Bosnia and Herzegovina;0;0
25566;2010;f;2010f;J;Moldova;Cyprus;0;0
25567;2010;f;2010f;J;Moldova;Denmark;0;0
25568;2010;f;2010f;J;Moldova;France;0;0
25569;2010;f;2010f;J;Moldova;Georgia;5;0
25570;2010;f;2010f;J;Moldova;Germany;0;0
25571;2010;f;2010f;J;Moldova;Greece;2;0
25572;2010;f;2010f;J;Moldova;Iceland;0;0
25573;2010;f;2010f;J;Moldova;Ireland;0;0
25574;2010;f;2010f;J;Moldova;Israel;1;0
25575;2010;f;2010f;J;Moldova;Moldova;0;1
25576;2010;f;2010f;J;Moldova;Norway;0;0
25577;2010;f;2010f;J;Moldova;Portugal;0;0
25578;2010;f;2010f;J;Moldova;Romania;12;0
25579;2010;f;2010f;J;Moldova;Russia;10;0
25580;2010;f;2010f;J;Moldova;Serbia;0;0
25581;2010;f;2010f;J;Moldova;Spain;4;0
25582;2010;f;2010f;J;Moldova;Turkey;0;0
25583;2010;f;2010f;J;Moldova;Ukraine;8;0
25584;2010;f;2010f;J;Moldova;United Kingdom;0;0
25585;2010;f;2010f;J;Norway;Albania;0;0
25586;2010;f;2010f;J;Norway;Armenia;0;0
25587;2010;f;2010f;J;Norway;Azerbaijan;7;0
25588;2010;f;2010f;J;Norway;Belarus;0;0
25589;2010;f;2010f;J;Norway;Belgium;3;0
25590;2010;f;2010f;J;Norway;Bosnia and Herzegovina;0;0
25591;2010;f;2010f;J;Norway;Cyprus;0;0
25592;2010;f;2010f;J;Norway;Denmark;8;0
25593;2010;f;2010f;J;Norway;France;4;0
25594;2010;f;2010f;J;Norway;Georgia;1;0
25595;2010;f;2010f;J;Norway;Germany;12;0
25596;2010;f;2010f;J;Norway;Greece;0;0
25597;2010;f;2010f;J;Norway;Iceland;6;0
25598;2010;f;2010f;J;Norway;Ireland;0;0
25599;2010;f;2010f;J;Norway;Israel;5;0
25600;2010;f;2010f;J;Norway;Moldova;0;0
25601;2010;f;2010f;J;Norway;Norway;0;1
25602;2010;f;2010f;J;Norway;Portugal;0;0
25603;2010;f;2010f;J;Norway;Romania;10;0
25604;2010;f;2010f;J;Norway;Russia;0;0
25605;2010;f;2010f;J;Norway;Serbia;0;0
25606;2010;f;2010f;J;Norway;Spain;0;0
25607;2010;f;2010f;J;Norway;Turkey;2;0
25608;2010;f;2010f;J;Norway;Ukraine;0;0
25609;2010;f;2010f;J;Norway;United Kingdom;0;0
25610;2010;f;2010f;J;Poland;Albania;2;0
25611;2010;f;2010f;J;Poland;Armenia;5;0
25612;2010;f;2010f;J;Poland;Azerbaijan;8;0
25613;2010;f;2010f;J;Poland;Belarus;0;0
25614;2010;f;2010f;J;Poland;Belgium;10;0
25615;2010;f;2010f;J;Poland;Bosnia and Herzegovina;0;0
25616;2010;f;2010f;J;Poland;Cyprus;0;0
25617;2010;f;2010f;J;Poland;Denmark;12;0
25618;2010;f;2010f;J;Poland;France;0;0
25619;2010;f;2010f;J;Poland;Georgia;4;0
25620;2010;f;2010f;J;Poland;Germany;7;0
25621;2010;f;2010f;J;Poland;Greece;1;0
25622;2010;f;2010f;J;Poland;Iceland;0;0
25623;2010;f;2010f;J;Poland;Ireland;0;0
25624;2010;f;2010f;J;Poland;Israel;0;0
25625;2010;f;2010f;J;Poland;Moldova;0;0
25626;2010;f;2010f;J;Poland;Norway;0;0
25627;2010;f;2010f;J;Poland;Portugal;0;0
25628;2010;f;2010f;J;Poland;Romania;6;0
25629;2010;f;2010f;J;Poland;Russia;0;0
25630;2010;f;2010f;J;Poland;Serbia;0;0
25631;2010;f;2010f;J;Poland;Spain;0;0
25632;2010;f;2010f;J;Poland;Turkey;0;0
25633;2010;f;2010f;J;Poland;Ukraine;3;0
25634;2010;f;2010f;J;Poland;United Kingdom;0;0
25635;2010;f;2010f;J;Portugal;Albania;0;0
25636;2010;f;2010f;J;Portugal;Armenia;0;0
25637;2010;f;2010f;J;Portugal;Azerbaijan;0;0
25638;2010;f;2010f;J;Portugal;Belarus;0;0
25639;2010;f;2010f;J;Portugal;Belgium;5;0
25640;2010;f;2010f;J;Portugal;Bosnia and Herzegovina;0;0
25641;2010;f;2010f;J;Portugal;Cyprus;0;0
25642;2010;f;2010f;J;Portugal;Denmark;4;0
25643;2010;f;2010f;J;Portugal;France;7;0
25644;2010;f;2010f;J;Portugal;Georgia;0;0
25645;2010;f;2010f;J;Portugal;Germany;1;0
25646;2010;f;2010f;J;Portugal;Greece;8;0
25647;2010;f;2010f;J;Portugal;Iceland;0;0
25648;2010;f;2010f;J;Portugal;Ireland;0;0
25649;2010;f;2010f;J;Portugal;Israel;0;0
25650;2010;f;2010f;J;Portugal;Moldova;6;0
25651;2010;f;2010f;J;Portugal;Norway;3;0
25652;2010;f;2010f;J;Portugal;Portugal;0;1
25653;2010;f;2010f;J;Portugal;Romania;10;0
25654;2010;f;2010f;J;Portugal;Russia;2;0
25655;2010;f;2010f;J;Portugal;Serbia;0;0
25656;2010;f;2010f;J;Portugal;Spain;12;0
25657;2010;f;2010f;J;Portugal;Turkey;0;0
25658;2010;f;2010f;J;Portugal;Ukraine;0;0
25659;2010;f;2010f;J;Portugal;United Kingdom;0;0
25660;2010;f;2010f;J;Romania;Albania;1;0
25661;2010;f;2010f;J;Romania;Armenia;6;0
25662;2010;f;2010f;J;Romania;Azerbaijan;0;0
25663;2010;f;2010f;J;Romania;Belarus;0;0
25664;2010;f;2010f;J;Romania;Belgium;4;0
25665;2010;f;2010f;J;Romania;Bosnia and Herzegovina;0;0
25666;2010;f;2010f;J;Romania;Cyprus;0;0
25667;2010;f;2010f;J;Romania;Denmark;12;0
25668;2010;f;2010f;J;Romania;France;0;0
25669;2010;f;2010f;J;Romania;Georgia;0;0
25670;2010;f;2010f;J;Romania;Germany;3;0
25671;2010;f;2010f;J;Romania;Greece;7;0
25672;2010;f;2010f;J;Romania;Iceland;0;0
25673;2010;f;2010f;J;Romania;Ireland;0;0
25674;2010;f;2010f;J;Romania;Israel;0;0
25675;2010;f;2010f;J;Romania;Moldova;10;0
25676;2010;f;2010f;J;Romania;Norway;0;0
25677;2010;f;2010f;J;Romania;Portugal;0;0
25678;2010;f;2010f;J;Romania;Romania;0;1
25679;2010;f;2010f;J;Romania;Russia;0;0
25680;2010;f;2010f;J;Romania;Serbia;0;0
25681;2010;f;2010f;J;Romania;Spain;2;0
25682;2010;f;2010f;J;Romania;Turkey;8;0
25683;2010;f;2010f;J;Romania;Ukraine;5;0
25684;2010;f;2010f;J;Romania;United Kingdom;0;0
25685;2010;f;2010f;J;Russia;Albania;0;0
25686;2010;f;2010f;J;Russia;Armenia;12;0
25687;2010;f;2010f;J;Russia;Azerbaijan;8;0
25688;2010;f;2010f;J;Russia;Belarus;2;0
25689;2010;f;2010f;J;Russia;Belgium;5;0
25690;2010;f;2010f;J;Russia;Bosnia and Herzegovina;0;0
25691;2010;f;2010f;J;Russia;Cyprus;0;0
25692;2010;f;2010f;J;Russia;Denmark;1;0
25693;2010;f;2010f;J;Russia;France;0;0
25694;2010;f;2010f;J;Russia;Georgia;10;0
25695;2010;f;2010f;J;Russia;Germany;6;0
25696;2010;f;2010f;J;Russia;Greece;0;0
25697;2010;f;2010f;J;Russia;Iceland;0;0
25698;2010;f;2010f;J;Russia;Ireland;0;0
25699;2010;f;2010f;J;Russia;Israel;0;0
25700;2010;f;2010f;J;Russia;Moldova;0;0
25701;2010;f;2010f;J;Russia;Norway;0;0
25702;2010;f;2010f;J;Russia;Portugal;0;0
25703;2010;f;2010f;J;Russia;Romania;3;0
25704;2010;f;2010f;J;Russia;Russia;0;1
25705;2010;f;2010f;J;Russia;Serbia;0;0
25706;2010;f;2010f;J;Russia;Spain;4;0
25707;2010;f;2010f;J;Russia;Turkey;0;0
25708;2010;f;2010f;J;Russia;Ukraine;7;0
25709;2010;f;2010f;J;Russia;United Kingdom;0;0
25710;2010;f;2010f;J;Serbia;Albania;0;0
25711;2010;f;2010f;J;Serbia;Armenia;1;0
25712;2010;f;2010f;J;Serbia;Azerbaijan;0;0
25713;2010;f;2010f;J;Serbia;Belarus;0;0
25714;2010;f;2010f;J;Serbia;Belgium;5;0
25715;2010;f;2010f;J;Serbia;Bosnia and Herzegovina;12;0
25716;2010;f;2010f;J;Serbia;Cyprus;0;0
25717;2010;f;2010f;J;Serbia;Denmark;0;0
25718;2010;f;2010f;J;Serbia;France;4;0
25719;2010;f;2010f;J;Serbia;Georgia;0;0
25720;2010;f;2010f;J;Serbia;Germany;8;0
25721;2010;f;2010f;J;Serbia;Greece;10;0
25722;2010;f;2010f;J;Serbia;Iceland;0;0
25723;2010;f;2010f;J;Serbia;Ireland;0;0
25724;2010;f;2010f;J;Serbia;Israel;0;0
25725;2010;f;2010f;J;Serbia;Moldova;0;0
25726;2010;f;2010f;J;Serbia;Norway;0;0
25727;2010;f;2010f;J;Serbia;Portugal;2;0
25728;2010;f;2010f;J;Serbia;Romania;6;0
25729;2010;f;2010f;J;Serbia;Russia;0;0
25730;2010;f;2010f;J;Serbia;Serbia;0;1
25731;2010;f;2010f;J;Serbia;Spain;0;0
25732;2010;f;2010f;J;Serbia;Turkey;3;0
25733;2010;f;2010f;J;Serbia;Ukraine;7;0
25734;2010;f;2010f;J;Serbia;United Kingdom;0;0
25735;2010;f;2010f;J;Slovakia;Albania;0;0
25736;2010;f;2010f;J;Slovakia;Armenia;4;0
25737;2010;f;2010f;J;Slovakia;Azerbaijan;0;0
25738;2010;f;2010f;J;Slovakia;Belarus;0;0
25739;2010;f;2010f;J;Slovakia;Belgium;10;0
25740;2010;f;2010f;J;Slovakia;Bosnia and Herzegovina;0;0
25741;2010;f;2010f;J;Slovakia;Cyprus;2;0
25742;2010;f;2010f;J;Slovakia;Denmark;7;0
25743;2010;f;2010f;J;Slovakia;France;0;0
25744;2010;f;2010f;J;Slovakia;Georgia;0;0
25745;2010;f;2010f;J;Slovakia;Germany;12;0
25746;2010;f;2010f;J;Slovakia;Greece;5;0
25747;2010;f;2010f;J;Slovakia;Iceland;0;0
25748;2010;f;2010f;J;Slovakia;Ireland;0;0
25749;2010;f;2010f;J;Slovakia;Israel;8;0
25750;2010;f;2010f;J;Slovakia;Moldova;0;0
25751;2010;f;2010f;J;Slovakia;Norway;3;0
25752;2010;f;2010f;J;Slovakia;Portugal;0;0
25753;2010;f;2010f;J;Slovakia;Romania;1;0
25754;2010;f;2010f;J;Slovakia;Russia;6;0
25755;2010;f;2010f;J;Slovakia;Serbia;0;0
25756;2010;f;2010f;J;Slovakia;Spain;0;0
25757;2010;f;2010f;J;Slovakia;Turkey;0;0
25758;2010;f;2010f;J;Slovakia;Ukraine;0;0
25759;2010;f;2010f;J;Slovakia;United Kingdom;0;0
25760;2010;f;2010f;J;Slovenia;Albania;0;0
25761;2010;f;2010f;J;Slovenia;Armenia;0;0
25762;2010;f;2010f;J;Slovenia;Azerbaijan;0;0
25763;2010;f;2010f;J;Slovenia;Belarus;0;0
25764;2010;f;2010f;J;Slovenia;Belgium;0;0
25765;2010;f;2010f;J;Slovenia;Bosnia and Herzegovina;4;0
25766;2010;f;2010f;J;Slovenia;Cyprus;0;0
25767;2010;f;2010f;J;Slovenia;Denmark;12;0
25768;2010;f;2010f;J;Slovenia;France;3;0
25769;2010;f;2010f;J;Slovenia;Georgia;1;0
25770;2010;f;2010f;J;Slovenia;Germany;10;0
25771;2010;f;2010f;J;Slovenia;Greece;0;0
25772;2010;f;2010f;J;Slovenia;Iceland;0;0
25773;2010;f;2010f;J;Slovenia;Ireland;0;0
25774;2010;f;2010f;J;Slovenia;Israel;6;0
25775;2010;f;2010f;J;Slovenia;Moldova;0;0
25776;2010;f;2010f;J;Slovenia;Norway;0;0
25777;2010;f;2010f;J;Slovenia;Portugal;0;0
25778;2010;f;2010f;J;Slovenia;Romania;7;0
25779;2010;f;2010f;J;Slovenia;Russia;0;0
25780;2010;f;2010f;J;Slovenia;Serbia;8;0
25781;2010;f;2010f;J;Slovenia;Spain;5;0
25782;2010;f;2010f;J;Slovenia;Turkey;2;0
25783;2010;f;2010f;J;Slovenia;Ukraine;0;0
25784;2010;f;2010f;J;Slovenia;United Kingdom;0;0
25785;2010;f;2010f;J;Spain;Albania;0;0
25786;2010;f;2010f;J;Spain;Armenia;8;0
25787;2010;f;2010f;J;Spain;Azerbaijan;7;0
25788;2010;f;2010f;J;Spain;Belarus;0;0
25789;2010;f;2010f;J;Spain;Belgium;0;0
25790;2010;f;2010f;J;Spain;Bosnia and Herzegovina;0;0
25791;2010;f;2010f;J;Spain;Cyprus;0;0
25792;2010;f;2010f;J;Spain;Denmark;4;0
25793;2010;f;2010f;J;Spain;France;2;0
25794;2010;f;2010f;J;Spain;Georgia;1;0
25795;2010;f;2010f;J;Spain;Germany;12;0
25796;2010;f;2010f;J;Spain;Greece;5;0
25797;2010;f;2010f;J;Spain;Iceland;0;0
25798;2010;f;2010f;J;Spain;Ireland;0;0
25799;2010;f;2010f;J;Spain;Israel;0;0
25800;2010;f;2010f;J;Spain;Moldova;0;0
25801;2010;f;2010f;J;Spain;Norway;0;0
25802;2010;f;2010f;J;Spain;Portugal;6;0
25803;2010;f;2010f;J;Spain;Romania;10;0
25804;2010;f;2010f;J;Spain;Russia;0;0
25805;2010;f;2010f;J;Spain;Serbia;0;0
25806;2010;f;2010f;J;Spain;Spain;0;1
25807;2010;f;2010f;J;Spain;Turkey;3;0
25808;2010;f;2010f;J;Spain;Ukraine;0;0
25809;2010;f;2010f;J;Spain;United Kingdom;0;0
25810;2010;f;2010f;J;Sweden;Albania;0;0
25811;2010;f;2010f;J;Sweden;Armenia;1;0
25812;2010;f;2010f;J;Sweden;Azerbaijan;0;0
25813;2010;f;2010f;J;Sweden;Belarus;0;0
25814;2010;f;2010f;J;Sweden;Belgium;2;0
25815;2010;f;2010f;J;Sweden;Bosnia and Herzegovina;0;0
25816;2010;f;2010f;J;Sweden;Cyprus;3;0
